1	Ob	ob	KOUS	_	_	2	KONJ	_	_
19	ins	in	APPRART	_	_	21	PP	_	_
20	Aus	Aus	NN	_	_	19	PN	_	_
21	kicken	kicken	VVFIN	_	_	15	REL	_	_
22	,	,	$,	_	_	21	-PUNCT-	_	_
23	sind	sein	VAFIN	_	_	0	ROOT	_	_
24	nicht	nicht	PTKNEG	_	_	23	ADV	_	_
25	mehr	mehr	ADV	_	_	24	ADV	_	_
26	die	der|die|das	ART	_	_	27	DET	_	_
27	Jüngsten	Jüngster|Jüngste|Jüngstes	NN	_	_	23	PRED	_	_
28	.	.	$.	_	_	27	-PUNCT-	_	_

1	Bereits	bereits	ADV	_	_	2	ADV	_	_
2	1963	1963	CARD	_	_	3	ZEIT	_	_
3	zogen	ziehen	VVFIN	_	_	0	ROOT	_	_
4	sie	sie	PPER	_	_	3	SUBJ	_	(9)
5	für	für	APPR	_	_	3	PP	_	_
6	die	die	ART	_	_	7	DET	_	(11
7	Partei	Partei	NN	_	_	5	PN	_	11)
8	in	in	APPR	_	_	3	OBJP	_	_
9	den	der	ART	_	_	10	DET	_	_
10	Wahlkampf	Wahlkampf	NN	_	_	8	PN	_	_
11	.	.	$.	_	_	10	-PUNCT-	_	_

1	Aufbewahrt	auf#bewahren	VVPP	_	_	2	AUX	_	_
2	sind	sein%aux	VAFIN	_	_	0	ROOT	_	_
3	auch	auch	ADV	_	_	1	ADV	_	_
4	die	der	ART	_	_	5	DET	_	_
5	Klassiker	Klassiker	NN	_	_	2	SUBJ	_	_
6	aus	aus	APPR	_	_	5	PP	_	_
7	der	die	ART	_	_	8	DET	_	_
8	Zeit	Zeit	NN	_	_	6	PN	_	_
9	des	der	ART	_	_	11	DET	_	_
10	kalten	kalt	ADJA	_	_	11	ATTR	_	_
11	Krieges	Krieg	NN	_	_	8	GMOD	_	_
12	.	.	$.	_	_	11	-PUNCT-	_	_

1	Ein	ein	ART	_	_	2	DET	_	_
2	CDU-Poster	CDU-Poster	NN	_	_	0	ROOT	_	_
3	zur	zu	APPRART	_	_	2	PP	_	_
4	ersten	erst	ADJA	_	_	5	ATTR	_	_
5	Bundestagswahl	Bundestagswahl	NN	_	_	3	PN	_	_
6	1949	1949	CARD	_	_	5	APP	_	_
7	beispielsweise	beispielsweise	ADV	_	_	2	ADV	_	_
8	:	:	$.	_	_	7	-PUNCT-	_	_
9	Der	der	ART	_	_	11	DET	_	_
10	dämonische	dämonisch	ADJA	_	_	11	ATTR	_	_
11	Blick	Blick	NN	_	_	17	SUBJ	_	_
12	einer	eine	ART	_	_	13	DET	_	_
13	Mongolenfratze	Mongolenfratze	NN	_	_	11	GMOD	_	_
14	aus	aus	APPR	_	_	11	PP	_	_
15	dem	der	ART	_	_	16	DET	_	_
16	Osten	Osten	NN	_	_	14	PN	_	_
17	soll	sollen%aux	VMFIN	_	_	0	ROOT	_	_
18	ein	ein	ART	_	_	19	DET	_	_
19	Bild	Bild	NN	_	_	22	OBJA	_	_
20	des	der	ART	_	_	21	DET	_	_
21	Schreckens	Schrecken	NN	_	_	19	GMOD	_	_
22	vermitteln	vermitteln	VVINF	_	_	17	AUX	_	_
23	.	.	$.	_	_	22	-PUNCT-	_	_

1	Lange	lange	ADV	_	_	2	ADV	_	_
2	hielt	an#halten	VVFIN	_	_	0	ROOT	_	_
3	das	das	ART	_	_	4	DET	_	_
4	Spiel	Spiel	NN	_	_	2	SUBJ	_	_
5	mit	mit	APPR	_	_	4	PP	_	_
6	der	die	ART	_	_	7	DET	_	_
7	Angst	Angst	NN	_	_	5	PN	_	_
8	vor	vor	APPR	_	_	7	PP	_	_
9	den	der	ART	_	_	10	DET	_	_
10	Bolschewiken	Bolschewik	NN	_	_	8	PN	_	_
11	an	_	PTKVZ	_	_	2	AVZ	_	_
12	,	,	$,	_	_	11	-PUNCT-	_	_
13	reichte	reichen	VVFIN	_	_	2	KON	_	_
14	bis	bis	APPR	_	_	13	OBJP	_	_
15	in	in	APPR	_	_	14	PP	_	_
16	die	das	ART	_	_	18	DET	_	_
17	sechziger	sechziger	ADJA	_	_	18	ATTR	_	_
18	Jahre	Jahr	NN	_	_	15	PN	_	_
19	.	.	$.	_	_	18	-PUNCT-	_	_

1	Heute	heute	ADV	_	_	2	ADV	_	_
2	soll	sollen%aux	VMFIN	_	_	0	ROOT	_	_
3	wieder	wieder	ADV	_	_	5	ADV	_	_
4	Angst	Angst	NN	_	_	2	SUBJ	_	_
5	geschürt	schüren	VVPP	_	_	6	AUX	_	_
6	werden	werden%passiv	VAINF	_	_	2	AUX	_	_
7	mit	mit	APPR	_	_	5	PP	_	_
8	CDU-Slogans	CDU-Slogan	NN	_	_	7	PN	_	_
9	wie	wie	KOKOM	_	_	8	KOM	_	_
10	"	"	$(	_	_	11	-PUNCT-	_	_
11	Wer	wer	PWS	_	_	15	SUBJ	_	_
12	Rot	Rot	NN	_	_	15	OBJA	_	_
13	/	/	$(	_	_	12	-PUNCT-	_	_
14	Grün	Grün	NN	_	_	12	KON	_	_
15	wählt	wählen	VVFIN	_	_	17	SUBJC	_	_
16	,	,	$,	_	_	15	-PUNCT-	_	_
17	riskiert	riskieren	VVFIN	_	_	9	CJ	_	_
18	die	der	ART	_	_	19	DET	_	_
19	Kommunisten	Kommunist	NN	_	_	17	OBJA	_	_
20	"	"	$(	_	_	19	-PUNCT-	_	_
21	.	.	$.	_	_	19	-PUNCT-	_	_

1	Und	und	KON	_	_	0	ROOT	_	_
2	auf	auf	APPR	_	_	7	PP	_	_
3	einem	ein	ART	_	_	4	DET	_	_
4	Bären-Plakat	Bären-Plakat	NN	_	_	2	PN	_	_
5	der	die	ART	_	_	6	DET	_	(12
6	CDU	CDU	NE	_	_	4	GMOD	_	12)
7	wird	werden%passiv	VAFIN	_	_	1	CJ	_	_
8	wieder	wieder	ADV	_	_	9	ADV	_	_
9	gehetzt	hetzen	VVPP	_	_	7	AUX	_	_
10	:	:	$.	_	_	9	-PUNCT-	_	_

1	"	"	$(	_	_	2	-PUNCT-	_	_
2	Bloß	bloß	ADV	_	_	5	ADV	_	_
3	keine	keine	PIAT	_	_	5	DET	_	_
4	rot-grüne	rot-grün	ADJA	_	_	5	ATTR	_	_
5	Laus	Laus	NN	_	_	0	ROOT	_	_
6	im	in	APPRART	_	_	5	PP	_	_
7	Pelz	Pelz	NN	_	_	6	PN	_	_
8	.	.	$.	_	_	7	-PUNCT-	_	_
9	"	"	$(	_	_	7	-PUNCT-	_	_

1	In	in	APPR	_	_	5	PP	_	_
2	Reih	Reihe	NN	_	_	1	PN	_	_
3	und	und	KON	_	_	2	KON	_	_
4	Glied	Glied	NN	_	_	3	CJ	_	_
5	hängen	hängen	VVFIN	_	_	0	ROOT	_	_
6	sie	sie	PPER	_	_	5	SUBJ	_	(13)
7	hier	hier	ADV	_	_	5	ADV	_	_
8	alle	alle	PIS	_	_	6	ADV	_	(13)
9	,	,	$,	_	_	8	-PUNCT-	_	_
10	die	der	ART	_	_	11	DET	_	_
11	Helden	Held	NN	_	_	6	-UNKNOWN-	_	_
12	des	das	ART	_	_	13	DET	_	_
13	Wirtschaftswunders	Wirtschaftswunder	NN	_	_	11	GMOD	_	_
14	,	,	$,	_	_	13	-PUNCT-	_	_
15	mit	mit	APPR	_	_	11	PP	_	_
16	und	und	KON	_	_	15	KON	_	_
17	ohne	ohne	APPR	_	_	16	CJ	_	_
18	Bärte	Bart	NN	_	_	17	PN	_	_
19	,	,	$,	_	_	18	-PUNCT-	_	_
20	manche	mancher|manche|manches	PIS	_	_	15	KON	_	_
21	bebrillt	bebrillt	ADJD	_	_	20	PRED	_	_
22	,	,	$,	_	_	21	-PUNCT-	_	_
23	allesamt	allesamt	ADV	_	_	24	ADV	_	_
24	mit	mit	APPR	_	_	20	KON	_	_
25	Krawatte	Krawatte	NN	_	_	24	PN	_	_
26	und	und	KON	_	_	25	KON	_	_
27	fleischfarben	fleischfarben	ADJD	_	_	28	ADV	_	_
28	gezeichneten	gezeichnet	ADJA	_	_	29	ATTR	_	_
29	Gesichtern	Gesicht	NN	_	_	26	CJ	_	_
30	:	:	$.	_	_	29	-PUNCT-	_	_
31	Ludwig	Ludwig	NE	_	_	0	ROOT	_	(14
32	Erhard	Erhard	NE	_	_	31	APP	_	14)
33	und	und	KON	_	_	32	KON	_	_
34	seine	seine	PPOSAT	_	_	36	DET	_	(14)
35	dicke	dick	ADJA	_	_	36	ATTR	_	_
36	Zigarre	Zigarre	NN	_	_	33	CJ	_	_
37	,	,	$,	_	_	36	-PUNCT-	_	_
38	Erich	Erich	NE	_	_	32	KON	_	_
39	Ollenhauer	Ollenhauer	NE	_	_	38	APP	_	_
40	,	,	$,	_	_	39	-PUNCT-	_	_
41	der	der	ART	_	_	43	DET	_	_
42	junge	jung	ADJA	_	_	43	ATTR	_	_
43	Willy	Willy	NE	_	_	39	KON	_	_
44	Brandt	Brandt	NE	_	_	43	APP	_	_
45	.	.	$.	_	_	44	-PUNCT-	_	_

1	Auch	auch	ADV	_	_	4	ADV	_	_
2	eher	eher	ADV	_	_	3	ADV	_	_
3	dunkle	dunkel	ADJA	_	_	4	ATTR	_	_
4	Gestalten	Gestalt	NN	_	_	21	SUBJ	_	_
5	der	die	ART	_	_	6	DET	_	_
6	Nachkriegsgeschichte	Nachkriegsgeschichte	NN	_	_	4	GMOD	_	_
7	wie	wie	KOKOM	_	_	4	KOM	_	_
8	Hans-Georg	Hans-Georg	NE	_	_	7	CJ	_	_
9	Kiesinger	Kiesinger	NE	_	_	8	APP	_	_
10	-	-	$(	_	_	9	-PUNCT-	_	_
11	ohne	ohne	APPR	_	_	9	PP	_	_
12	Uniform	Uniform	NN	_	_	11	PN	_	_
13	-	-	$(	_	_	12	-PUNCT-	_	_
14	und	und	KON	_	_	9	KON	_	_
15	Hans	Hans	NE	_	_	14	CJ	_	_
16	Filbinger	Filbinger	NE	_	_	15	APP	_	_
17	-	-	$(	_	_	16	-PUNCT-	_	_
18	ohne	ohne	APPR	_	_	16	PP	_	_
19	Richterrobe	Richterrobe	NN	_	_	18	PN	_	_
20	-	-	$(	_	_	19	-PUNCT-	_	_
21	sind	sein%aux	VAFIN	_	_	0	ROOT	_	_
22	hier	hier	ADV	_	_	23	ADV	_	_
23	verewigt	verewigen	VVPP	_	_	21	AUX	_	_
24	.	.	$.	_	_	23	-PUNCT-	_	_

1	Die	die	ART	_	_	2	DET	_	_
2	Portraitsammlung	Portraitsammlung	NN	_	_	3	SUBJ	_	_
3	ist	sein	VAFIN	_	_	0	ROOT	_	_
4	eine	eine	ART	_	_	5	DET	_	_
5	Männerrunde	Männerrunde	NN	_	_	3	PRED	_	_
6	.	.	$.	_	_	5	-PUNCT-	_	_

1	Frauen	Frau	NN	_	_	2	SUBJ	_	_
2	tauchen	auf#tauchen	VVFIN	_	_	0	ROOT	_	_
3	in	in	APPR	_	_	2	PP	_	_
4	der	die	ART	_	_	5	DET	_	_
5	Galerie	Galerie	NN	_	_	3	PN	_	_
6	der	der	ART	_	_	7	DET	_	_
7	Köpfe	Kopf	NN	_	_	5	GMOD	_	_
8	erst	erst	ADV	_	_	2	ADV	_	_
9	in	in	APPR	_	_	2	PP	_	_
10	den	das	ART	_	_	12	DET	_	_
11	siebziger	siebziger	ADJA	_	_	12	ATTR	_	_
12	Jahren	Jahr	NN	_	_	9	PN	_	_
13	vermehrt	vermehrt	ADJD	_	_	2	ADV	_	_
14	auf	_	PTKVZ	_	_	2	AVZ	_	_
15	.	.	$.	_	_	14	-PUNCT-	_	_

1	Und	und	KON	_	_	4	KON	_	_
2	immer	immer	ADV	_	_	3	ADV	_	_
3	wieder	wieder	ADV	_	_	4	ADV	_	_
4	Konrad	Konrad	NE	_	_	0	ROOT	_	(15
5	Adenauer	Adenauer	NE	_	_	4	APP	_	15)
6	mit	mit	APPR	_	_	5	PP	_	_
7	seinem	sein	PPOSAT	_	_	9	DET	_	(15)
8	zerfurchten	zerfurcht	ADJA	_	_	9	ATTR	_	_
9	Gesicht	Gesicht	NN	_	_	6	PN	_	_
10	.	.	$.	_	_	9	-PUNCT-	_	_

1	Der	der	ART	_	_	3	DET	_	(15
2	einstige	einstig	ADJA	_	_	3	ATTR	_	_
3	Übervater	Übervater	NN	_	_	4	SUBJ	_	15)
4	schaut	schauen	VVFIN	_	_	0	ROOT	_	_
5	vom	von	APPRART	_	_	4	PP	_	_
6	Plakatständer	Plakatständer	NN	_	_	5	PN	_	_
7	,	,	$,	_	_	6	-PUNCT-	_	_
8	als	als	KOKOM	_	_	9	-UNKNOWN-	_	_
9	wollte	wollen%aux	VMFIN	_	_	4	NEB	_	_
10	er	er	PPER	_	_	9	SUBJ	_	(15)
11	aufs	auf	APPRART	_	_	13	PP	_	_
12	neue	Neues	NN	_	_	11	PN	_	_
13	sagen	sagen	VVINF	_	_	9	AUX	_	_
14	:	:	$.	_	_	13	-PUNCT-	_	_

1	"	"	$(	_	_	2	-PUNCT-	_	_
2	Was	was	PWS	_	_	3	OBJA	_	_
3	geht	an#gehen	VVFIN	_	_	0	ROOT	_	_
4	mich	ich	PPER	_	_	3	OBJA	_	(15)
5	mein	mein	PPOSAT	_	_	6	DET	_	(15)
6	Geschwätz	Geschwätz	NN	_	_	3	SUBJ	_	_
7	von	von	APPR	_	_	6	PP	_	_
8	gestern	gestern	ADV	_	_	7	ADV	_	_
9	an	_	PTKVZ	_	_	3	AVZ	_	_
10	.	.	$.	_	_	9	-PUNCT-	_	_
11	"	"	$(	_	_	9	-PUNCT-	_	_

