1	Um	Um	KOUI	KOUI	_	8	konj	_	-
2	der	die	ART	ART	Def|Fem|Dat|Sg	3	det	_	(16
3	Bezirksverordnetenversammlung	Bezirksverordnetenversammlung	N	NN	Fem|Dat|Sg	1	pn	_	16)
4	Charlottenburg	Charlottenburg	N	NE	_|_|Sg	0	root	_	-
5	,	,	$,	$,	_	0	root	_	-
6	die	die	PRO	PRELS	_|_|_	0	root	_	(16)
7	am	an	PREP	APPRART	Dat	0	root	_	-
8	vergangenen	vergangen	ADJA	ADJA	Pos|_|Dat|Sg|Wk|	9	attr	_	-
9	Donnerstag	Donnerstag	N	NN	_|Dat|Sg	7	pn	_	-
10	mit	mit	PREP	APPR	Dat	9	pp	_	-
11	27	27	CARD	CARD	_	10	pn	_	-
12	:	\:	$.	$.	_	0	root	_	-
13	16	16	CARD	CARD	_	14	attr	_	-
14	Stimmen	Stimme	N	NN	Fem|_|Pl	15	grad	_	-
15	für	für	PREP	APPR	Acc	18	objp	_	-
16	die	die	ART	ART	Def|Fem|Acc|Sg	17	det	_	(17
17	Aktion	Aktion	N	NN	Fem|Acc|Sg	15	pn	_	17)
18	gestimmt	stimmen	V	VVPP	_	19	aux	_	-
19	hatte	haben	V	VAFIN	_|Sg|Past|Ind	0	root	_	-
20	,	,	$,	$,	_	0	root	_	-
21	hatte	haben	V	VAFIN	3|Sg|Past|Ind	18	s	_	-
22	laut	laut	PREP	APPR	Dat	33	pp	_	-
23	Profe	Profe	N	NE	_|Dat|_	22	pn	_	(15)
24	auch	auch	ADV	ADV	_	33	adv	_	-
25	das	die	ART	ART	Def|Neut|Nom|Sg	26	det	_	-
26	Landesdenkmalamt	Landesdenkmalamt	N	NN	Neut|Nom|Sg	21	subj	_	-
27	keine	keine	ART	PIAT	_|_|Pl	29	det	_	-
28	schwerwiegenden	schwerwiegend	ADJA	ADJA	Pos|_|_|Pl|Wk|_	29	attr	_	-
29	Einwände	Einwand	N	NN	_|_|Pl	33	obja	_	-
30	gegen	gegen	PREP	APPR	Acc	29	pp	_	-
31	das	die	ART	ART	Def|Neut|Acc|Sg	32	det	_	(1
32	Plakat	Plakat	N	NN	Neut|Acc|Sg	30	pn	_	1)
33	geäußert	äußern	V	VVPP	_	21	aux	_	-
34	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Da	da	ADV	ADV	_	3	adv	_	-
3	hatte	haben	V	VAFIN	1|Sg|Past|Ind	10	s	_	-
4	ich	ich	PRO	PPER	1|Sg|_|Nom	3	subj	_	(18)
5	keinen	keine	ART	PIAT	Masc|Acc|Sg	6	det	_	-
6	Partner	Partner	N	NN	Masc|Acc|Sg	3	obja	_	-
7	mehr	mehr	ADV	ADV	_	6	adv	_	-
8	"	"	$(	$(	_	0	root	_	-
9	,	,	$,	$,	_	0	root	_	-
10	sagte	sagen	V	VVFIN	3|Sg|Past|_	0	root	_	-
11	die	die	ART	ART	Def|Fem|Nom|Sg	12	det	_	-
12	Baustadträtin	Baustadträtin	N	NN	Fem|Nom|Sg	10	subj	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Pfarrerin	Pfarrerin	N	NN	Fem|Nom|Sg	5	subj	_	-
3	der	die	ART	ART	Def|Fem|Gen|Sg	4	det	_	(6
4	Gedächtniskirche	Gedächtniskirche	N	NN	Fem|Gen|Sg	2	gmod	_	6)
5	wirft	werfen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
6	den	die	ART	ART	Def|Masc|Dat|Pl	7	det	_	(19
7	Gegnern	Gegner	N	NN	Masc|Dat|Pl	5	objd	_	-
8	der	die	ART	ART	Def|Fem|Gen|Sg	9	det	_	(17
9	Aktion	Aktion	N	NN	Fem|Gen|Sg	7	gmod	_	17)|19)
10	vor	vor	PTKVZ	PTKVZ	_	5	avz	_	-
11	,	,	$,	$,	_	0	root	_	-
12	daß	daß	KOUS	KOUS	_	35	konj	_	-
13	gerade	gerade	ADV	ADV	_	14	adv	_	-
14	diejenigen	diejenige	PRO	PDS	_|Nom|Pl	35	subj	_	-
15	,	,	$,	$,	_	0	root	_	-
16	die	die	PRO	PRELS	_|Nom|Pl	21	subj	_	(19)
17	aus	aus	PREP	APPR	Dat	20	pp	_	-
18	der	die	ART	ART	Def|Fem|Dat|Sg	19	det	_	(14
19	Kirche	Kirche	N	NN	Fem|Dat|Sg	17	pn	_	14)
20	ausgetreten	austreten	V	VVPP	_	21	aux	_	-
21	seien	sein	V	VAFIN	3|Pl|Pres|Subj	14	rel	_	-
22	und	und	KON	KON	_	21	kon	_	-
23	keine	keine	ART	PIAT	Neut|Nom|Pl	24	det	_	-
24	Kirchensteuer	Kirchensteuer	N	NN	Neut|Nom|Pl	26	subj	_	-
25	mehr	mehr	ADV	ADV	_	24	adv	_	-
26	bezahlen	bezahlen	V	VVFIN	3|Pl|Pres|_	22	cj	_	-
27	,	,	$,	$,	_	0	root	_	-
28	am	an	PREP	APPRART	Dat	34	pp	_	-
29	lautesten	laut	ADJA	ADJA	Sup|_|Dat|_|_|	28	pn	_	-
30	gegen	gegen	PREP	APPR	Acc	34	pp	_	-
31	die	die	ART	ART	Def|Fem|Acc|Sg	33	det	_	-
32	unkonventionelle	unkonventionell	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	33	attr	_	-
33	Einnahme	Einnahme	N	NN	Fem|Acc|Sg	30	pn	_	-
34	polemisiert	polemisieren	V	VVPP	_	35	aux	_	-
35	hätten	haben	V	VAFIN	3|Pl|Past|Subj	5	objc	_	-
36	.	.	$.	$.	_	0	root	_	-

