1	Gib	geben	V	VVIMP	Sg	0	root	_	-
41	begleitet	begleiten	V	VVPP	_	37	neb	_	11)|13)
42	und	und	KON	KON	_	37	kon	_	-
43	mit	mit	PREP	APPR	Dat	53	pp	_	-
44	Kevin	Kevin	N	NE	Fem|Dat|Sg	43	pn	_	-
45	Eubanks	Eubanks	N	NE	Fem|Dat|Sg	44	app	_	-
46	oder	oder	KON	KON	_	44	kon	_	-
47	der	die	ART	ART	Def|Fem|Dat|Sg	48	det	_	-
48	M-Base	M-Base	N	NN	Fem|Dat|Sg	46	cj	_	-
49	Gruppe	Gruppe	N	NN	Fem|Nom|Sg	53	subj	_	-
50	um	um	PREP	APPR	_	53	pp	_	-
51	Greg	Greg	N	NE	_|_|_	50	pn	_	-
52	Osby	Osby	N	NE	_|_|_	51	app	_	-
53	funkt	funken	V	VVFIN	_|_|Pres|Ind	42	cj	_	-
54	,	,	$,	$,	_	0	root	_	-
55	»	»	$(	$(	_	0	root	_	-
56	je	je	ADV	ADV	_	14	adv	_	-
57	unterschiedlicher	unterschiedlich	ADV	ADJD	Comp|	14	pred	_	-
58	die	die	ART	ART	Def|Fem|Nom|Sg	59	det	_	(12
59	Musik	Musik	N	NN	Fem|Nom|Sg	60	pred	_	-
60	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
61	,	,	$,	$,	_	0	root	_	-
62	die	die	PRO	PRELS	Fem|_|Sg	64	obja	_	(12)
63	ich	ich	PRO	PPER	1|Sg|_|Nom	64	subj	_	(10)
64	mache	machen	V	VVFIN	1|Sg|Pres|_	59	rel	_	12)
65	,	,	$,	$,	_	0	root	_	-
66	desto	desto	ADV	ADV	_	67	adv	_	-
67	offener	offen	ADV	ADJD	Comp|	68	pred	_	-
68	werde	werden	V	VAFIN	1|Sg|Pres|_	0	root	_	-
69	ich	ich	PRO	PPER	1|Sg|_|Nom	68	subj	_	(10)
70	«	«	$(	$(	_	0	root	_	-
71	.	.	$.	$.	_	0	root	_	-

1	Ein	ein	ART	ART	Indef|_|Nom|Sg	3	det	_	-
2	anderer	anderer	ADJA	ADJA	_	3	attr	_	-
3	Young	Young	FM	FM	_|Nom|Sg	5	subj	_	-
4	Lion	Lion	FM	FM	_|Nom|Sg	3	app	_	-
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
6	der	die	ART	ART	Def|Masc|Nom|Sg	8	det	_	-
7	27jährige	27jährig	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	8	attr	_	-
8	Pianist	Pianist	N	NN	Masc|Nom|Sg	5	pred	_	-
9	Joey	Joey	N	NE	Masc|Nom|Sg	8	app	_	-
10	Calderazzo	Calderazzo	N	NE	Masc|Nom|Sg	9	app	_	-
11	,	,	$,	$,	_	0	root	_	-
12	dessen	die	ART	PRELAT	Neut|Nom|Sg	14	det	_	-
13	zweites	zweit	ADJA	ADJA	_|Neut|Nom|Sg|St|	14	attr	_	-
14	Album	Album	N	NN	Neut|Nom|Sg	27	subj	_	-
15	To	To	FM	FM	Neut|Nom|Sg	14	app	_	-
16	Know	Know	FM	FM	Neut|Nom|Sg	15	app	_	-
17	One	One	FM	FM	Neut|Nom|Sg	16	app	_	-
18	mit	mit	PREP	APPR	Dat	26	pp	_	-
19	Sidemen	Sidemen	N	NE	Neut|Dat|Sg	18	pn	_	-
20	Dave	Dave	N	NE	Neut|Dat|Sg	19	app	_	-
21	Holland	Holland	N	NE	Neut|Dat|Sg	20	app	_	-
22	und	und	KON	KON	_	21	kon	_	-
23	Jack	Jack	N	NE	Neut|Dat|Sg	22	cj	_	-
24	DeJohnette	DeJohnette	N	NE	Neut|Dat|Sg	23	app	_	-
25	gerade	gerade	ADV	ADV	_	26	adv	_	-
26	veröffentlicht	veröffentlichen	V	VVPP	_	27	aux	_	-
27	wurde	werden	V	VAFIN	3|Sg|Past|Ind	10	rel	_	-
28	.	.	$.	$.	_	0	root	_	-

1	Er	er	PRO	PPER	3|Sg|Masc|Nom	2	subj	_	(13)
2	macht	machen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	kein	keine	ART	PIAT	_|_|Sg	4	det	_	-
4	Hehl	Hehl	N	NN	_|_|Sg	2	obja	_	-
5	daraus	daraus	PROAV	PROAV	_	4	pp	_	-
6	,	,	$,	$,	_	0	root	_	-
7	eher	eher	ADV	ADV	_	14	adv	_	-
8	im	in	PREP	APPRART	Dat	14	pp	_	-
9	Rock	Rock	N	NN	Masc|Dat|Sg	8	pn	_	-
10	und	und	KON	KON	_	8	kon	_	-
11	in	in	PREP	APPR	Dat	10	cj	_	-
12	der	die	ART	ART	Def|Fem|Dat|Sg	13	det	_	-
13	Klassik	Klassik	N	NN	Fem|Dat|Sg	11	pn	_	-
14	verwurzelt	verwurzeln	V	VVPP	_	16	aux	_	-
15	zu	zu	PTKZU	PTKZU	_	16	part	_	-
16	sein	sein	V	VAINF	_	4	obji	_	-
17	,	,	$,	$,	_	0	root	_	-
18	als	als	KOKOM	KOKOM	_	2	kom	_	-
19	im	in	PREP	APPRART	Dat	18	cj	_	-
20	Jazz	Jazz	N	NN	Masc|Dat|Sg	19	pn	_	(25)
21	.	.	$.	$.	_	0	root	_	-

1	»	»	$(	$(	_	0	root	_	-
2	Zu	zu	PREP	APPR	Dat	4	pp	_	-
3	Hause	Haus	N	NN	Neut|Dat|Sg	2	pn	_	-
4	übe	üben	V	VVFIN	1|Sg|Pres|_	0	root	_	-
5	ich	ich	PRO	PPER	1|Sg|_|Nom	4	subj	_	(10)
6	schon	schon	ADV	ADV	_	4	adv	_	-
7	das	die	ART	ART	Def|Neut|_|Sg	9	det	_	-
8	ganze	ganz	ADJA	ADJA	Pos|Neut|_|Sg|Wk|	9	attr	_	-
9	Bebop	Bebop	N	NN	Neut|_|Sg	4	obja	_	-
10	Zeug	Zeug	N	NN	Neut|_|Sg	9	app	_	-
11	,	,	$,	$,	_	0	root	_	-
12	doch	doch	KON	KON	_	4	kon	_	-
13	wenn	wenn	KOUS	KOUS	_	15	konj	_	-
14	ich	ich	PRO	PPER	1|Sg|_|Nom	15	subj	_	(10)
15	auftrete	auftreten	V	VVFIN	1|Sg|Pres|_	17	neb	_	-
16	,	,	$,	$,	_	0	root	_	-
17	mache	machen	V	VVFIN	1|Sg|Pres|_	12	cj	_	-
18	ich	ich	PRO	PPER	1|Sg|_|Nom	17	subj	_	(10)
19	meine	meine	ART	PPOSAT	Fem|_|Pl	21	det	_	(10)
20	eigenen	eigen	ADJA	ADJA	Pos|Fem|_|Pl|Wk|	21	attr	_	-
21	Sachen	Sache	N	NN	Fem|_|Pl	17	obja	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Na	Na	ITJ	ITJ	_	0	root	_	-
2	klar	klar	ADV	ADJD	Pos|	3	adv	_	-
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
4	die	die	ART	ART	Def|_|Nom|Pl	5	det	_	(14
5	kids	kids	N	NN	_|Nom|Pl	3	subj	_	14)
6	ein	eine	ART	ART	Indef|Masc|Nom|Sg	7	det	_	(15
7	Verkaufsschlager	Verkaufsschlager	N	NN	Masc|Nom|Sg	3	pred	_	15)
8	,	,	$,	$,	_	0	root	_	-
9	wenn	wenn	KOUS	KOUS	_	14	konj	_	-
10	sie	sie	PRO	PPER	3|Pl|_|Nom	14	subj	_	(14)
11	die	die	ART	ART	Def|Fem|_|Pl	13	det	_	-
12	alten	alt	ADJA	ADJA	Pos|Fem|_|Pl|Wk|	13	attr	_	-
13	Sachen	Sache	N	NN	Fem|_|Pl	14	obja	_	-
14	imitieren	imitieren	V	VVFIN	3|Pl|Pres|_	3	neb	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Aber	aber	KON	KON	_	0	root	_	-
2	diese	diese	ART	PDAT	Fem|Nom|Sg	3	det	_	(12
3	Musik	Musik	N	NN	Fem|Nom|Sg	4	subj	_	12)
4	wurde	werden	V	VAFIN	3|Sg|Past|Ind	1	cj	_	-
5	früher	früh	ADV	ADJD	_|	6	adv	_	-
6	schon	schon	ADV	ADV	_	10	adv	_	-
7	mal	mal	ADV	ADV	_	10	adv	_	-
8	viel	viel	ADV	ADV	_	9	adv	_	-
9	besser	gut	ADV	ADJD	Comp|	10	adv	_	-
10	gespielt	spielen	V	VVPP	_	4	aux	_	-
11	,	,	$,	$,	_	0	root	_	-
12	als	als	KOUS	KOUS	_	16	konj	_	-
13	sie	sie	PRO	PPER	3|Sg|Fem|Nom	16	subj	_	(12)
14	noch	noch	ADV	ADV	_	16	adv	_	-
15	innovativ	innovativ	ADV	ADJD	Pos|	16	pred	_	-
16	war	sein	V	VAFIN	3|Sg|Past|Ind	4	neb	_	-
17	.	.	$.	$.	_	0	root	_	-

1	«	«	$(	$(	_	0	root	_	-
2	(	(	$(	$(	_	0	root	_	-
3	Er	er	PRO	PPER	3|Sg|Masc|Nom	4	subj	_	(15)
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
5	mit	mit	PREP	APPR	Dat	4	pp	_	-
6	dem	die	ART	ART	Def|Neut|Dat|Sg	7	det	_	-
7	Jerry	Jerry	N	NE	Neut|Dat|Sg	5	pn	_	-
8	Bergonzi	Bergonzi	N	NE	Neut|Dat|Sg	7	app	_	-
9	Quartett	Quartett	N	NN	Neut|Dat|Sg	8	app	_	-
10	nochmal	nochmal	ADV	ADV	_	4	adv	_	-
11	in	in	PREP	APPR	Dat	4	pp	_	-
12	der	die	ART	ART	Def|Fem|Dat|Sg	13	det	_	-
13	Stadt	Stadt	N	NN	Fem|Dat|Sg	11	pn	_	-
14	,	,	$,	$,	_	0	root	_	-
15	am	an	PREP	APPRART	Dat	4	pp	_	-
16	25.	25.	ADJA	ADJA	_|Masc|Dat|Sg|_|	17	attr	_	-
17	Juli	Juli	N	NN	Masc|Dat|Sg	15	pn	_	-
18	im	in	PREP	APPRART	Dat	17	pp	_	-
19	Podewil	Podewil	N	NN	_|Dat|_	18	pn	_	-
20	.	.	$.	$.	_	0	root	_	-

1	)	)	$(	$(	_	0	root	_	-
2	Der	die	ART	ART	Def|Fem|Dat|Sg	3	det	_	-
3	Young	Young	FM	FM	Fem|Dat|Sg	8	objd	_	-
4	Lion	Lion	FM	FM	Fem|Dat|Sg	3	app	_	-
5	Saxfunker	Saxfunker	FM	FM	Fem|Dat|Sg	4	app	_	-
6	Art	Art	N	NN	Fem|Dat|Sg	5	app	_	-
7	Porter	Porter	N	NE	Fem|Dat|Sg	6	app	_	-
8	entpuppte	entpuppen	V	VVFIN	_|Sg|Past|_	0	root	_	-
9	sich	sie	PRO	PRF	3|_|_	8	obja	_	-
10	bei	bei	PREP	APPR	Dat	8	pp	_	-
11	seinem	seine	ART	PPOSAT	Masc|Dat|Sg	14	det	_	(15)
12	einzigen	einzig	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	14	attr	_	-
13	deutschen	deutsch	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	14	attr	_	-
14	Clubauftritt	Clubauftritt	N	NN	Masc|Dat|Sg	10	pn	_	-
15	als	als	KOKOM	KOKOM	_	8	kom	_	-
16	wahrer	wahr	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	17	attr	_	-
17	Shooting-Star	Shooting-Star	N	NN	Masc|Nom|Sg	15	cj	_	-
18	des	die	ART	ART	Def|Neut|Gen|Sg	19	det	_	(16
19	Festivals	Festival	N	NN	Neut|Gen|Sg	17	gmod	_	16)
20	.	.	$.	$.	_	0	root	_	-

1	Er	er	PRO	PPER	3|Sg|Masc|Nom	2	subj	_	(15)
2	präsentierte	präsentieren	V	VVFIN	3|Sg|Past|_	0	root	_	-
3	Energie	Energie	N	NN	Fem|_|Sg	2	obja	_	(17)
4	pur	pur	ADV	ADJD	Pos|	2	adv	_	-
5	,	,	$,	$,	_	0	root	_	-
6	unverbraucht	unverbraucht	ADV	ADJD	Pos|	4	kon	_	-
7	und	und	KON	KON	_	6	kon	_	-
8	atemberaubend	atemberaubend	ADV	ADJD	Pos|<PPRES	7	cj	_	-
9	,	,	$,	$,	_	0	root	_	-
10	mit	mit	PREP	APPR	Dat	0	root	_	-
11	der	die	PRO	PRELS	Fem|Dat|Sg	10	pn	_	(17)
12	bislang	bislang	ADV	ADV	_	13	adv	_	-
13	ausgeschlafensten	ausgeschlafen	ADJA	ADJA	Sup|Masc|Acc|Sg|_|	14	attr	_	-
14	Band	Band	N	NN	Masc|Acc|Sg	0	root	_	-
15	,	,	$,	$,	_	0	root	_	-
16	die	die	ART	ART	Def|_|Acc|Pl	18	det	_	-
17	jüngsten	jung	ADJA	ADJA	Sup|_|Acc|Pl|Wk|	18	attr	_	-
18	kids	kids	N	NN	_|Acc|Pl	14	app	_	-
19	aus	aus	PREP	APPR	Dat	18	pp	_	-
20	der	die	ART	ART	Def|_|_|_	21	det	_	-
21	George-Benson-	George-Benson-	TRUNC	TRUNC	Fem|_|Sg	19	pn	_	-
22	und	und	KON	KON	_	21	kon	_	-
23	Miles-Schule	Miles-Schule	N	NN	Fem|_|Sg	22	cj	_	-
24	.	.	$.	$.	_	0	root	_	-

1	Straight	Straight	FM	FM	_	0	root	_	-
2	no	no	FM	FM	_	1	app	_	-
3	chaser	chaser	FM	FM	_	2	app	_	-
4	-	-	$(	$(	_	0	root	_	-
5	see	see	FM	FM	Fem|_|Sg	0	root	_	-
6	you	you	FM	FM	Fem|_|Sg	5	app	_	-
7	Art	Art	N	NN	Fem|_|Sg	6	app	_	-
8	!	!	$.	$.	_	0	root	_	-

1	Als	Als	KOKOM	KOKOM	_	4	kom	_	-
2	alternder	alternd	ADJA	ADJA	Pos|Masc|Nom|Sg|St|<PPRES	3	attr	_	-
3	Hase	Hase	N	NN	Masc|Nom|Sg	1	cj	_	-
4	geht	gehen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
5	bereits	bereits	ADV	ADV	_	4	adv	_	-
6	der	die	ART	ART	Def|Masc|Nom|Sg	7	det	_	-
7	Saxophonist	Saxophonist	N	NN	Masc|Nom|Sg	4	subj	_	-
8	Bill	Bill	N	NE	Masc|Nom|Sg	7	app	_	-
9	Evans	Evans	N	NE	Masc|Nom|Sg	8	app	_	-
10	durch	durch	PTKVZ	PTKVZ	_	4	avz	_	-
11	,	,	$,	$,	_	0	root	_	-
12	ein	eine	ART	ART	Indef|Masc|Nom|Sg	13	det	_	(18
13	Miles-Kid	Miles-Kid	N	NN	_|Nom|Sg	33	subj	_	-
14	Jahrgang	Jahrgang	N	NN	Masc|Nom|Sg	13	app	_	18)
15	58	58	CARD	CARD	_	14	app	_	-
16	,	,	$,	$,	_	0	root	_	-
17	der	die	PRO	PRELS	Masc|Nom|Sg	19	subj	_	(18)
18	zwar	zwar	ADV	ADV	_	19	adv	_	-
19	sagt	sagen	V	VVFIN	3|Sg|Pres|Ind	14	rel	_	-
20	,	,	$,	$,	_	0	root	_	-
21	daß	daß	KOUS	KOUS	_	24	konj	_	-
22	er	er	PRO	PPER	3|Sg|Masc|Nom	24	subj	_	(18)
23	noch	noch	ADV	ADV	_	24	adv	_	-
24	übt	üben	V	VVFIN	3|Sg|Pres|Ind	19	objc	_	-
25	und	und	KON	KON	_	13	kon	_	-
26	seine	seine	ART	PPOSAT	Neut|Nom|Sg	28	det	_	(18)
27	aktuelle	aktuell	ADJA	ADJA	Pos|Neut|Nom|Sg|Wk|	28	attr	_	-
28	Fusion-Formation	Fusion-Formation	N	NN	Neut|Nom|Sg	25	cj	_	-
29	vorsorglich	vorsorglich	ADV	ADJD	Pos|	33	adv	_	-
30	schon	schon	ADV	ADV	_	33	adv	_	-
31	mal	mal	ADV	ADV	_	33	adv	_	-
32	Superband	Superband	N	NN	_|_|Sg	33	obja	_	-
33	nennt	nennen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
34	(	(	$(	$(	_	0	root	_	-
35	mit	mit	PREP	APPR	Dat	0	root	_	-
36	der	die	ART	ART	Def|Fem|Dat|Sg	38	det	_	-
37	romantischen	romantisch	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	38	attr	_	-
38	Schlaftablette	Schlaftablette	N	NN	Fem|Dat|Sg	35	pn	_	-
39	Chuck	Chuck	N	NE	Fem|Dat|Sg	38	app	_	-
40	Loeb	Loeb	N	NE	Fem|Dat|Sg	39	app	_	-
41	an	an	PREP	APPR	Dat	38	pp	_	-
42	der	die	ART	ART	Def|Fem|Dat|Sg	43	det	_	-
43	Gitarre	Gitarre	N	NN	Fem|Dat|Sg	41	pn	_	-
44	,	,	$,	$,	_	0	root	_	-
45	15.	15.	ADJA	ADJA	_|_|_|_|_|	0	root	_	-

1	7.	7.	ADJA	ADJA	_|_|_|_|_|	0	root	_	-

1	)	)	$(	$(	_	0	root	_	-
2	.	.	$.	$.	_	0	root	_	-

1	Und	und	KON	KON	_	0	root	_	-
2	auch	auch	ADV	ADV	_	1	cj	_	-
3	wenn	wenn	KOUS	KOUS	_	0	root	_	-
4	der	die	ART	ART	Def|Masc|Nom|Sg	5	det	_	-
5	Bassist	Bassist	N	NN	Masc|Nom|Sg	0	root	_	-
6	Santi	Santi	N	NE	_|Nom|Sg	5	app	_	-
7	Debriano	Debriano	N	NE	_|Nom|Sg	6	app	_	-
8	,	,	$,	$,	_	0	root	_	-
9	Jahrgang	Jahrgang	N	NN	_|Nom|Sg	7	app	_	-
10	1955	1955	CARD	CARD	_	9	app	_	-
11	,	,	$,	$,	_	0	root	_	-
12	als	als	KOKOM	KOKOM	_	7	kom	_	-
13	Sideman	Sideman	N	NN	_	12	cj	_	-
14	der	die	ART	ART	Def|_|_|_	15	det	_	(19
15	Sax-Formation	Sax-Formation	N	NN	_|Gen|_	13	gmod	_	-
16	Roots	Roots	N	NE	_|Gen|_	15	app	_	19)
17	(	(	$(	$(	_	0	root	_	-
18	17.	17.	ADJA	ADJA	_|_|_|_|_|	0	root	_	-

1	7.	7.	ADJA	ADJA	_|_|_|_|_|	0	root	_	-

1	)	)	$(	$(	_	0	root	_	-
2	Gefahr	Gefahr	N	NN	Fem|Nom|Sg	3	subj	_	-
3	läuft	laufen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
4	,	,	$,	$,	_	0	root	_	-
5	übertönt	übertönen	V	VVPP	_	7	aux	_	-
6	zu	zu	PTKZU	PTKZU	_	7	part	_	-
7	werden	werden	V	VAINF	_	3	obji	_	-
8	-	-	$(	$(	_	0	root	_	-
9	ihm	er	PRO	PPER	3|Sg|_|Dat	15	objd	_	(19)
10	sollte	sollen	V	VMFIN	3|Sg|Past|_	3	kon	_	-
11	ein	eine	ART	ART	Indef|Neut|Nom|Sg	12	det	_	-
12	Solo	Solo	N	NN	Neut|Nom|Sg	10	subj	_	-
13	unbedingt	unbedingt	ADV	ADJD	Pos|	15	adv	_	-
14	zu	zu	PTKZU	PTKZU	_	15	part	_	-
15	entlocken	entlocken	V	VVINF	_	16	aux	_	-
16	sein	sein	V	VAINF	_	10	aux	_	-
17	!	!	$.	$.	_	0	root	_	-

1	Dem	die	ART	ART	Def|Masc|Dat|Sg	2	det	_	-
2	Paten	Pate	N	NN	Masc|Dat|Sg	0	root	_	-
3	gleich	gleich	ADV	ADJD	Pos|	4	adv	_	-
4	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
5	Godfather	Godfather	N	NE	_|Nom|Sg	4	subj	_	(20
6	James	James	N	NE	_|Nom|Sg	5	app	_	-
7	Brown	Brown	N	NE	_|Nom|Sg	6	app	_	20)
8	seinen	seine	ART	PPOSAT	_|_|_	9	det	_	(20)
9	Neffen	Neffe	N	NN	_|_|_	13	obja	_	-
10	Maceo	Maceo	N	NE	_|_|_	9	app	_	-
11	oft	oft	ADV	ADV	_	13	adv	_	-
12	genug	genug	ADV	ADV	_	13	adv	_	-
13	gesegnet	segnen	V	VVPP	_	4	aux	_	-
14	,	,	$,	$,	_	0	root	_	-
15	daß	daß	KOUS	KOUS	_	0	root	_	-
16	der	die	ART	ART	Def|_|_|_	0	root	_	-
17	jetzt	jetzt	ADV	ADV	_	22	adv	_	-
18	als	als	KOKOM	KOKOM	_	22	kom	_	-
19	Souljünger	Souljünger	N	NN	Masc|_|_	18	cj	_	-
20	die	die	ART	ART	Def|Fem|Nom|Sg	21	det	_	(21
21	Gemeinde	Gemeinde	N	NN	Fem|Nom|Sg	22	subj	_	21)
22	betört	betören	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
23	.	.	$.	$.	_	0	root	_	-

1	Da	da	ADV	ADV	_	2	adv	_	-
2	läßt	lassen	V	VVFIN	_|Sg|Pres|Ind	0	root	_	-
3	'	'	$(	$(	_	0	root	_	-
4	s	s	PRO	PPER	_|Sg|_|Nom	2	subj	_	(21)
5	sich	sie	PRO	PRF	3|_|_	9	obja	_	-
6	als	als	KOKOM	KOKOM	_	9	kom	_	-
7	Gott	Gott	N	NN	Masc|_|Sg	6	cj	_	-
8	schon	schon	ADV	ADV	_	9	adv	_	-
9	überleben	überleben	V	VVINF	_	2	obji	_	-
10	,	,	$,	$,	_	0	root	_	-
11	wenn	wenn	KOUS	KOUS	_	0	root	_	-
12	auch	auch	ADV	ADV	_	13	adv	_	-
13	auf	auf	PREP	APPR	Acc	0	root	_	-
14	die	die	ART	ART	Def|Fem|Acc|Sg	17	det	_	-
15	arg	arg	ADV	ADJD	Pos|	16	adv	_	-
16	erdische	erdisch	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	17	attr	_	-
17	Art	Art	N	NN	Fem|Acc|Sg	13	pn	_	-
18	hinter	hinter	PREP	APPR	Dat	17	pp	_	-
19	Gittern	Gitter	N	NN	Neut|Dat|Pl	18	pn	_	-
20	,	,	$,	$,	_	0	root	_	-
21	denn	denn	KON	KON	_	0	root	_	-
22	Parker	Parker	N	NN	Masc|Nom|Pl	27	subj	_	-
23	'	'	$(	$(	_	0	root	_	-
24	s	s	PRO	PPER	_|_|_|Nom	27	pred	_	-
25	Roots	Roots	N	NE	_|Nom|_	24	app	_	-
26	Revisited	Revisited	N	NE	_|Nom|_	25	app	_	-
27	klingen	klingen	V	VVFIN	3|Pl|Pres|_	21	cj	_	-
28	allenfalls	allenfalls	ADV	ADV	_	27	adv	_	-
29	wie	wie	KOKOM	KOKOM	_	27	kom	_	-
30	Verkünder	Verkünder	N	NN	Masc|_|_	29	cj	_	-
31	(	(	$(	$(	_	0	root	_	-
32	20.	20.	ADJA	ADJA	_|_|_|_|_|	0	root	_	-

1	7.	7.	ADJA	ADJA	_|_|_|_|_|	0	root	_	-

1	/	/	$(	$(	_	0	root	_	-
2	Abschlußparty	Abschlußparty	N	NN	Fem|_|Sg	0	root	_	-
3	im	in	PREP	APPRART	Dat	2	pp	_	-
4	Tempodrom	Tempodrom	N	NN	_|Dat|_	3	pn	_	(22)
5	)	)	$(	$(	_	0	root	_	-
6	.	.	$.	$.	_	0	root	_	-

1	Mit	mit	ADV	ADV	_	2	adv	_	-
2	dabei	dabei	PROAV	PROAV	_	5	pp	_	-
3	der	die	ART	ART	Def|Masc|Nom|Sg	5	det	_	-
4	23jährige	23jährig	ADJA	ADJA	Pos|Masc|Nom|Sg|Wk|	5	attr	_	-
5	Young	Young	FM	FM	Masc|Nom|Sg	0	root	_	-
6	Lion	Lion	FM	FM	Masc|Nom|Sg	5	app	_	-
7	Larry	Larry	N	NE	Masc|Nom|Sg	6	app	_	-
8	Goldings	Goldings	N	NE	Masc|Nom|Sg	7	app	_	-
9	an	an	PREP	APPR	Dat	8	pp	_	-
10	der	die	ART	ART	Def|Fem|Dat|Sg	11	det	_	(34
11	Orgel	Orgel	N	NN	Fem|Dat|Sg	9	pn	_	34)
12	.	.	$.	$.	_	0	root	_	-

1	Er	er	PRO	PPER	3|Sg|Masc|Nom	2	subj	_	(22)
2	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
3	einer	eine	PRO	PIS	Masc|Nom|Sg	2	pred	_	-
4	der	die	ART	ART	Def|Masc|Gen|Pl	6	det	_	-
5	ersten	erst	ADJA	ADJA	_|Masc|Gen|Pl|Wk|	6	attr	_	-
6	Absolventen	Absolvent	N	NN	Masc|Gen|Pl	3	gmod	_	-
7	des	die	ART	ART	Def|Neut|Gen|Sg	8	det	_	-
8	Jazzdepartments	Jazzdepartment	N	NN	Neut|Gen|Sg	6	gmod	_	-
9	an	an	PREP	APPR	Dat	2	pp	_	-
10	der	die	ART	ART	Def|Fem|Dat|Sg	11	det	_	-
11	N.Y.er	N.Y.er	N	NN	Fem|Dat|Sg	9	pn	_	-
12	New	New	FM	FM	Fem|Dat|Sg	11	app	_	-
13	School	School	FM	FM	Fem|Dat|Sg	12	app	_	-
14	for	for	FM	FM	Fem|Dat|Sg	13	app	_	-
15	Social	Social	FM	FM	Fem|Dat|Sg	14	app	_	-
16	Research	Research	FM	FM	Fem|Dat|Sg	15	app	_	-
17	,	,	$,	$,	_	0	root	_	-
18	eins	eins	CARD	CARD	_	16	app	_	-
19	unter	unter	PREP	APPR	_	18	pp	_	-
20	derzeit	derzeit	ADV	ADV	_	24	adv	_	-
21	über	über	ADV	ADV	_	24	adv	_	-
22	400	400	CARD	CARD	_	24	attr	_	-
23	amerikanischen	amerikanisch	ADJA	ADJA	Pos|Neut|_|Pl|_|	24	attr	_	-
24	Jazzkollegs	Jazzkolleg	N	NN	Neut|_|Pl	19	pn	_	-
25	und	und	KON	KON	_	24	kon	_	-
26	40	40	CARD	CARD	_	27	attr	_	-
27	Jazzuniversitäten	Jazzuniversität	N	NN	Fem|_|Pl	25	cj	_	-
28	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	-
2	Jazzpädagoge	Jazzpädagoge	N	NN	Masc|Nom|Sg	5	subj	_	-
3	Billy	Billy	N	NE	Masc|Nom|Sg	2	app	_	-
4	Taylor	Taylor	N	NE	Masc|Nom|Sg	3	app	_	-
5	zählt	zählen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
6	derzeit	derzeit	ADV	ADV	_	5	adv	_	-
7	mehr	mehr	ADV	ADV	_	8	adv	_	-
8	als	als	KOKOM	KOKOM	_	5	kom	_	-
9	35.000	35.000	CARD	CARD	_	10	attr	_	-
10	Jazzensembles	Jazzensemble	N	NN	Neut|_|Pl	8	cj	_	-
11	in	in	PREP	APPR	_	5	pp	_	-
12	den	die	ART	ART	Def|_|_|_	13	det	_	-
13	U.S.	U.S.	N	NN	_|_|_	11	pn	_	-
14	,	,	$,	$,	_	0	root	_	-
15	und	und	KON	KON	_	5	kon	_	-
16	wenn	wenn	KOUS	KOUS	_	26	konj	_	-
17	die	die	ART	ART	Def|_|Nom|Pl	18	det	_	(23
18	Young	Young	N	NE	_|Nom|Pl	26	subj	_	-
19	Lions	Lions	N	NE	_|Nom|Pl	18	app	_	-
20	nicht	nicht	PTKNEG	PTKNEG	_	26	adv	_	-
21	aus	aus	PREP	APPR	Dat	26	objp	_	-
22	den	die	ART	ART	Def|Fem|Dat|Pl	23	det	_	-
23	New	New	FM	FM	Fem|Dat|Pl	21	pn	_	-
24	Orleanser	Orleanser	FM	FM	Fem|Dat|Pl	23	app	_	-
25	Musikerfamilien	Musikerfamilie	N	NN	Fem|Dat|Pl	24	app	_	23)
26	stammen	stammen	V	VVFIN	3|Pl|Pres|_	29	neb	_	-
27	,	,	$,	$,	_	0	root	_	-
28	dann	dann	ADV	ADV	_	29	adv	_	-
29	kommen	kommen	V	VVFIN	3|Pl|Pres|_	15	cj	_	-
30	sie	sie	PRO	PPER	3|Pl|_|Nom	29	subj	_	(23)
31	über	über	PREP	APPR	_	29	objp	_	-
32	Berklee	Berklee	N	NE	_|_|_	31	pn	_	-
