1	Mach	machen	V	VVIMP	Sg	0	root	_	-
11	Enzio	Enzio	N	NE	Masc|Dat|Sg	10	app	_	-
12	von	von	PREP	APPR	_	9	pp	_	-
13	Kühlmann-Stumm	Kühlmann-Stumm	N	NE	_|_|_	12	pn	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Erfahrungswissen	Erfahrungswissen	N	NN	Neut|Nom|Sg	2	subj	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	zwar	zwar	ADV	ADV	_	2	adv	_	-
4	gut	gut	ADV	ADJD	Pos|	2	pred	_	-
5	,	,	$,	$,	_	0	root	_	-
6	jahre-	jahre-	TRUNC	TRUNC	Fem|_|Sg	17	subj	_	-
7	,	,	$,	$,	_	0	root	_	-
8	sogar	sogar	ADV	ADV	_	11	adv	_	-
9	jahrzehntelange	jahrzehntelang	ADJA	ADJA	Pos|Fem|_|Sg|_|	11	attr	_	-
10	immergleiche	immergleiche	ADJA	ADJA	_|Fem|_|Sg|_	11	attr	_	-
11	Routine	Routine	N	NN	Fem|_|Sg	6	kon	_	-
12	bei	bei	PREP	APPR	Dat	11	pp	_	-
13	der	die	ART	ART	Def|Fem|Dat|Sg	15	det	_	-
14	immergleichen	immergleichen	ADJA	ADJA	_|Fem|Dat|Sg|_	15	attr	_	-
15	Firma	Firma	N	NN	Fem|Dat|Sg	12	pn	_	-
16	hingegen	hingegen	ADV	ADV	_	15	adv	_	-
17	gilt	gelten	V	VVFIN	3|Sg|Pres|Ind	2	kon	_	-
18	heute	heute	ADV	ADV	_	17	adv	_	-
19	als	als	KOKOM	KOKOM	_	17	kom	_	-
20	Manko	Manko	N	NN	Neut|_|Sg	19	cj	_	-
21	.	.	$.	$.	_	0	root	_	-

1	Bei	bei	PREP	APPR	Dat	6	pp	_	-
2	der	die	ART	ART	Def|Fem|Dat|Sg	3	det	_	-
3	Unternehmensberatung	Unternehmensberatung	N	NN	Fem|Dat|Sg	1	pn	_	-
4	Boston	Boston	N	NE	Neut|Dat|Sg	3	app	_	-
5	Consulting	Consulting	N	NN	Neut|Dat|Sg	4	app	_	-
6	sollten	sollen	V	VMFIN	3|Pl|Past|_	0	root	_	-
7	berufserfahrene	berufserfahren	ADJA	ADJA	Pos|Masc|Nom|Pl|St|	8	attr	_	-
8	Neuzugänge	Neuzugang	N	NN	Masc|Nom|Pl	6	subj	_	-
9	nicht	nicht	PTKNEG	PTKNEG	_	20	adv	_	-
10	länger	lang	ADV	ADJD	Comp|	20	adv	_	-
11	als	als	KOKOM	KOKOM	_	20	kom	_	-
12	drei	drei	CARD	CARD	_	11	cj	_	-
13	bis	bis	PREP	APPR	Acc	20	pp	_	-
14	fünf	fünf	CARD	CARD	_	15	attr	_	-
15	Jahre	Jahr	N	NN	Neut|Acc|Pl	13	pn	_	-
16	in	in	PREP	APPR	Dat	20	pp	_	-
17	einem	eine	ART	ART	Indef|Neut|Dat|Sg	19	det	_	-
18	anderen	anderen	ADJA	ADJA	_|Neut|Dat|Sg|_	19	attr	_	-
19	Unternehmen	Unternehmen	N	NN	Neut|Dat|Sg	16	pn	_	-
20	gearbeitet	arbeiten	V	VVPP	_	21	aux	_	-
21	haben	haben	V	VAINF	_	6	aux	_	-
22	,	,	$,	$,	_	0	root	_	-
23	berichtet	berichten	V	VVFIN	3|Sg|Pres|Ind	20	s	_	-
24	eine	eine	ART	ART	Indef|Fem|Nom|Sg	25	det	_	-
25	Verantwortliche	Verantwortliche	N	NN	Fem|Nom|Sg	23	subj	_	-
26	in	in	PREP	APPR	Dat	23	pp	_	-
27	der	die	ART	ART	Def|Fem|Dat|Sg	28	det	_	-
28	Recruiting-Abteilung	Recruiting-Abteilung	N	NN	Fem|Dat|Sg	26	pn	_	-
29	.	.	$.	$.	_	0	root	_	-

1	Bei	bei	PREP	APPR	Dat	4	pp	_	-
2	Andersen	Andersen	N	NE	Neut|Dat|Sg	1	pn	_	-
3	Consulting	Consulting	N	NN	Neut|Dat|Sg	2	app	_	-
4	werden	werden	V	VAFIN	_|Pl|Pres|_	0	root	_	-
5	40-	40-	TRUNC	TRUNC	_	0	root	_	-
6	bis	bis	PREP	APPR	Acc	0	root	_	-
7	45jährige	45jährig	ADJA	ADJA	Pos|_|Acc|_|_|	6	pn	_	-
8	nur	nur	ADV	ADV	_	6	adv	_	-
9	eingestellt	einstellen	V	VVPP	_	0	root	_	-
10	,	,	$,	$,	_	0	root	_	-
11	wenn	wenn	KOUS	KOUS	_	19	konj	_	-
12	es	es	PRO	PPER	3|Sg|Neut|Nom	19	subj	_	-
13	sich	sie	PRO	PRF	3|_|_	19	obja	_	-
14	um	um	PREP	APPR	Acc	19	objp	_	-
15	"	"	$(	$(	_	0	root	_	-
16	absolute	absolut	ADJA	ADJA	Pos|Fem|Acc|Pl|St|	17	attr	_	-
17	Führungskräfte	Führungskraft	N	NN	Fem|Acc|Pl	14	pn	_	-
18	"	"	$(	$(	_	0	root	_	-
19	handelt	handeln	V	VVFIN	3|Sg|Pres|Ind	21	neb	_	-
20	,	,	$,	$,	_	0	root	_	-
21	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
22	es	es	PRO	PPER	3|Sg|Neut|Nom	21	subj	_	-
23	im	in	PREP	APPRART	Dat	21	pp	_	-
24	Recruiting	Recruiting	N	NN	_|Dat|_	23	pn	_	-
25	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Standardlösung	Standardlösung	N	NN	Fem|Nom|Sg	6	subj	_	-
3	für	für	PREP	APPR	Acc	2	pp	_	-
4	ältere	alt	ADJA	ADJA	Comp|_|Acc|_|_|	5	attr	_	-
5	Arbeitslose	Arbeitslose	N	NN	_|Acc|_	3	pn	_	-
6	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
7	die	die	ART	ART	Def|Fem|Nom|Sg	13	det	_	-
8	-	-	$(	$(	_	0	root	_	-
9	nicht	nicht	PTKNEG	PTKNEG	_	11	adv	_	-
10	ganz	ganz	ADV	ADV	_	11	adv	_	-
11	freiwillige	freiwillig	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	13	attr	_	-
12	-	-	$(	$(	_	0	root	_	-
13	Selbständigkeit	Selbständigkeit	N	NN	Fem|Nom|Sg	6	pred	_	-
14	:	\:	$.	$.	_	0	root	_	-
15	als	als	KOKOM	KOKOM	_	0	root	_	-
16	Unternehmensberater	Unternehmensberater	N	NN	Masc|_|_	15	cj	_	-
17	auf	auf	PREP	APPR	_	16	pp	_	-
18	Honorarbasis	Honorarbasis	N	NN	Fem|_|Sg	17	pn	_	-
19	,	,	$,	$,	_	0	root	_	-
20	als	als	KOKOM	KOKOM	_	15	kon	_	-
21	Franchise-Nehmer	Franchise-Nehmer	N	NN	Masc|_|_	20	cj	_	-
22	,	,	$,	$,	_	0	root	_	-
23	als	als	KOKOM	KOKOM	_	20	kon	_	-
24	Handelsvertreter	Handelsvertreter	N	NN	Masc|_|_	23	cj	_	-
25	und	und	KON	KON	_	23	kon	_	-
26	im	in	PREP	APPRART	Dat	29	pp	_	-
27	günstigen	günstig	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	28	attr	_	-
28	Fall	Fall	N	NN	Masc|Dat|Sg	26	pn	_	-
29	als	als	KOKOM	KOKOM	_	25	cj	_	-
30	sogenannter	sogenannt	ADJA	ADJA	Pos|Masc|_|_|St|	31	attr	_	-
31	Interims-Manager	Interims-Manager	N	NN	Masc|_|_	29	cj	_	-
32	;	;	$.	$.	_	0	root	_	-
33	diese	diese	ART	PDAT	_|Nom|Pl	34	det	_	-
34	Experten	Experte	N	NN	_|Nom|Pl	35	subj	_	-
35	räumen	räumen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
36	auf	auf	PTKVZ	PTKVZ	_	35	avz	_	-
37	und	und	KON	KON	_	35	kon	_	-
38	verschwinden	verschwinden	V	VVFIN	_|Pl|Pres|_	37	cj	_	-
39	dann	dann	ADV	ADV	_	38	adv	_	-
40	wieder	wieder	ADV	ADV	_	38	adv	_	-
41	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Neut|Nom|Pl	2	det	_	-
2	Vorurteile	Vorurteil	N	NN	Neut|Nom|Pl	7	subj	_	-
3	der	die	ART	ART	Def|Masc|Gen|Pl	4	det	_	(8
4	Personalchefs	Personalchef	N	NN	Masc|Gen|Pl	2	gmod	_	8)
5	gegenüber	gegenüber	PREP	APPR	Dat	2	pp	_	-
6	Älteren	Ältere	N	NN	_|Dat|_	5	pn	_	(9)
7	lassen	lassen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
8	sich	sie	PRO	PRF	3|_|_	15	obja	_	-
9	zumindest	zumindest	ADV	ADV	_	15	adv	_	-
10	bei	bei	PREP	APPR	Dat	15	pp	_	-
11	den	die	ART	ART	Def|_|Dat|Pl	12	det	_	-
12	Angestellten	Angestellte	N	NN	_|Dat|Pl	10	pn	_	-
13	kaum	kaum	ADV	ADV	_	14	adv	_	-
14	physiologisch	physiologisch	ADV	ADJD	Pos|	15	adv	_	-
15	begründen	begründen	V	VVINF	_	7	obji	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Mehrere	mehrere	ART	PIAT	_|Nom|Pl	2	det	_	-
2	Studien	Studie	N	NN	_|Nom|Pl	8	subj	_	-
3	über	über	PREP	APPR	Acc	2	pp	_	-
4	Ältere	Ältere	N	NN	_|Acc|_	3	pn	_	-
5	in	in	PREP	APPR	Dat	4	pp	_	-
6	der	die	ART	ART	Def|Fem|Dat|Sg	7	det	_	-
7	Arbeitswelt	Arbeitswelt	N	NN	Fem|Dat|Sg	5	pn	_	-
8	weisen	weisen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
9	daraufhin	daraufhin	PROAV	PROAV	_	8	pp	_	-
10	,	,	$,	$,	_	0	root	_	-
11	daß	daß	KOUS	KOUS	_	0	root	_	-
12	die	die	ART	ART	Def|Fem|_|Sg	14	det	_	(10
13	kristalline	kristallin	ADJA	ADJA	Pos|Fem|_|Sg|_|	14	attr	_	-
14	Intelligenz	Intelligenz	N	NN	Fem|_|Sg	0	root	_	-
15	,	,	$,	$,	_	0	root	_	-
16	die	die	PRO	PRELS	Fem|Nom|Sg	21	subj	_	(10)
17	auf	auf	PREP	APPR	Dat	21	objp	_	-
18	Denkinhalten	Denkinhalt	N	NN	Masc|Dat|Pl	17	pn	_	-
19	und	und	KON	KON	_	18	kon	_	-
20	Kulturwissen	Kulturwissen	N	NN	Neut|Dat|Sg	19	cj	_	-
21	basiert	basieren	V	VVFIN	3|Sg|Pres|Ind	14	rel	_	-
22	,	,	$,	$,	_	0	root	_	-
23	erst	erst	ADV	ADV	_	24	adv	_	-
24	im	in	PREP	APPRART	Dat	21	pp	_	-
25	5.	5.	ADJA	ADJA	_|_|Dat|_|_|	24	pn	_	10)

1	Lebensjahrzehnt	Lebensjahrzehnt	N	NN	_|Nom|Sg	4	subj	_	(11)
2	ihren	ihre	ART	PPOSAT	Masc|_|Sg	3	det	_	(11)
3	Höhepunkt	Höhepunkt	N	NN	Masc|_|Sg	4	obja	_	-
4	erreicht	erreichen	V	VVPP	_	0	root	_	-
5	.	.	$.	$.	_	0	root	_	-

1	Lediglich	lediglich	ADV	ADV	_	4	adv	_	-
2	die	die	ART	ART	Def|Fem|Nom|Sg	4	det	_	-
3	fluide	fluide	ADJA	ADJA	_|Fem|Nom|Sg|_	4	attr	_	-
4	Intelligenz	Intelligenz	N	NN	Fem|Nom|Sg	10	subj	_	-
5	,	,	$,	$,	_	0	root	_	-
6	also	also	ADV	ADV	_	8	adv	_	-
7	die	die	ART	ART	Def|Fem|Nom|Sg	8	det	_	-
8	Verarbeitungsgeschwindigkeit	Verarbeitungsgeschwindigkeit	N	NN	Fem|Nom|Sg	4	app	_	-
9	,	,	$,	$,	_	0	root	_	-
10	nimmt	nehmen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
11	ab	ab	PTKVZ	PTKVZ	_	10	avz	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Ältere	Ältere	N	NN	_|Nom|Pl	2	subj	_	-
2	können	können	V	VMFIN	3|Pl|Pres|_	0	root	_	-
3	Wichtiges	Wichtiges	N	NN	Neut|_|Sg	7	obja	_	-
4	schneller	schnell	ADV	ADJD	Comp|	7	adv	_	-
5	von	von	PREP	APPR	Dat	7	pp	_	-
6	Unwichtigem	Unwichtiger	N	NN	_|Dat|Sg	5	pn	_	-
7	trennen	trennen	V	VVINF	_	2	aux	_	-
8	und	und	KON	KON	_	7	kon	_	-
9	daher	daher	PROAV	PROAV	_	12	pp	_	-
10	genauso	genauso	ADV	ADV	_	11	adv	_	-
11	lernfähig	lernfähig	ADV	ADJD	Pos|	12	pred	_	-
12	sein	sein	V	VAINF	_	8	cj	_	-
13	.	.	$.	$.	_	0	root	_	-

1	Trotzdem	Trotzdem	PROAV	PROAV	_	2	pp	_	-
2	liegen	liegen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
3	die	die	ART	ART	Def|Masc|Nom|Pl	4	det	_	(8
4	Personalchefs	Personalchef	N	NN	Masc|Nom|Pl	2	subj	_	8)
5	mit	mit	PREP	APPR	Dat	2	pp	_	-
6	ihren	ihre	ART	PPOSAT	Neut|Dat|Pl	7	det	_	(8)
7	Vorurteilen	Vorurteil	N	NN	Neut|Dat|Pl	5	pn	_	-
8	nicht	nicht	PTKNEG	PTKNEG	_	2	adv	_	-
9	daneben	daneben	PROAV	PROAV	_	2	pp	_	-
10	.	.	$.	$.	_	0	root	_	-

1	Nicht	nicht	PTKNEG	PTKNEG	_	4	adv	_	-
2	das	die	ART	ART	Def|Neut|Nom|Sg	4	det	_	-
3	biologische	biologisch	ADJA	ADJA	Pos|Neut|Nom|Sg|Wk|	4	attr	_	-
4	Alter	Alter	N	NN	Neut|Nom|Sg	5	subj	_	-
5	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
6	das	die	ART	ART	Def|Neut|Nom|Sg	7	det	_	-
7	Problem	Problem	N	NN	Neut|Nom|Sg	5	pred	_	-
8	,	,	$,	$,	_	0	root	_	-
9	sondern	sondern	KON	KON	_	7	kon	_	-
10	die	die	ART	ART	Def|Fem|Nom|Sg	12	det	_	-
11	herkömmliche	herkömmlich	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	12	attr	_	-
12	Berufsbiographie	Berufsbiographie	N	NN	Fem|Nom|Sg	9	cj	_	-
13	:	\:	$.	$.	_	0	root	_	-
14	Jahrelange	jahrelang	ADJA	ADJA	Pos|_|_|_|_|	15	attr	_	-
15	Routine	Routine	N	NN	Fem|Dat|Sg	21	objd	_	-
16	in	in	PREP	APPR	_	15	pp	_	-
17	ein	eins	CARD	CARD	_	16	pn	_	-
18	und	und	KON	KON	_	15	kon	_	-
19	demselben	dieselbe	ART	PDAT	Masc|Dat|Sg	20	det	_	(12
20	Job	Job	N	NN	Masc|Dat|Sg	18	cj	_	12)
21	töten	töten	V	VVFIN	_|Pl|Pres|_	0	root	_	-
22	Lernfähigkeit	Lernfähigkeit	N	NN	Fem|Nom|Sg	21	subj	_	-
23	und	und	KON	KON	_	22	kon	_	-
24	Flexibilität	Flexibilität	N	NN	Fem|Nom|Sg	23	cj	_	-
25	,	,	$,	$,	_	0	root	_	-
26	so	so	ADV	ADV	_	27	adv	_	-
27	ergaben	ergeben	V	VVFIN	3|Pl|Past|Ind	21	kon	_	-
28	einschlägige	einschlägig	ADJA	ADJA	Pos|_|Nom|Pl|St|	29	attr	_	-
29	Studien	Studie	N	NN	_|Nom|Pl	27	subj	_	-
30	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	-
2	Kündigungsschutz	Kündigungsschutz	N	NN	Masc|Nom|Sg	5	subj	_	-
3	in	in	PREP	APPR	_	2	pp	_	-
4	Deutschland	Deutschland	N	NE	Neut|_|Sg	3	pn	_	-
5	wirkt	wirken	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
6	dabei	dabei	PROAV	PROAV	_	5	pp	_	-
7	nach	nach	PREP	APPR	Dat	5	pp	_	-
8	innen	innen	ADV	ADV	_	7	adv	_	-
9	und	und	KON	KON	_	8	kon	_	-
10	außen	außen	ADV	ADV	_	9	cj	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Wer	wer	PRO	PWS	_|Nom|Sg	3	subj	_	-
2	älter	alt	ADV	ADJD	Comp|	3	pred	_	-
3	ist	sein	V	VAFIN	3|Sg|Pres|Ind	5	objc	_	-
4	,	,	$,	$,	_	0	root	_	-
5	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
6	ein	eine	ART	ART	Indef|Neut|Nom|Sg	8	det	_	(13
7	geringeres	gering	ADJA	ADJA	Comp|Neut|Nom|Sg|St|	8	attr	_	-
8	Risiko	Risiko	N	NN	Neut|Nom|Sg	5	subj	_	13)
9	als	als	KOKOM	KOKOM	_	5	kom	_	-
10	Jüngere	Jüngere	N	NN	_|_|_	9	cj	_	(6)
11	,	,	$,	$,	_	0	root	_	-
12	den	die	ART	ART	Def|Masc|Acc|Sg	13	det	_	(12
13	Job	Job	N	NN	Masc|Acc|Sg	15	obja	_	12)
14	zu	zu	PTKZU	PTKZU	_	15	part	_	-
15	verlieren	verlieren	V	VVINF	_	5	obji	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Und	und	KON	KON	_	0	root	_	-
2	wechselt	wechseln	V	VVFIN	_|_|Pres|_	1	cj	_	-
3	auch	auch	ADV	ADV	_	2	adv	_	-
4	oft	oft	ADV	ADV	_	2	adv	_	-
5	nicht	nicht	PTKNEG	PTKNEG	_	2	adv	_	-
6	mehr	mehr	ADV	ADV	_	5	adv	_	-
7	,	,	$,	$,	_	0	root	_	-
8	schon	schon	ADV	ADV	_	9	adv	_	-
9	aus	aus	PREP	APPR	Dat	6	kon	_	-
10	Sicherheitsgründen	Sicherheitsgrund	N	NN	_|Dat|_	9	pn	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Wer	wer	PRO	PWS	_|Nom|Sg	6	subj	_	-
2	seinen	seine	ART	PPOSAT	Masc|_|Sg	3	det	_	(13)
3	Job	Job	N	NN	Masc|_|Sg	5	obja	_	-
4	aber	aber	ADV	ADV	_	5	adv	_	-
5	verloren	verlieren	V	VVPP	_	6	aux	_	-
6	hat	haben	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
7	,	,	$,	$,	_	0	root	_	-
8	für	für	PREP	APPR	Acc	10	pp	_	-
9	den	die	PRO	PDS	Masc|Acc|Sg	8	pn	_	-
10	tun	tun	V	VVFIN	3|Pl|Pres|Ind	0	root	_	-
11	sich	sie	PRO	PRF	3|_|_	10	obja	_	-
12	hohe	hoch	ADJA	ADJA	Pos|_|Nom|Pl|St|	13	attr	_	(14
13	Mauern	Mauer	N	NN	_|Nom|Pl	10	subj	_	14)
14	auf	auf	PTKVZ	PTKVZ	_	10	avz	_	-
15	,	,	$,	$,	_	0	root	_	-
16	irgendwo	irgendwo	ADV	ADV	_	17	adv	_	-
17	wieder	wieder	ADV	ADV	_	18	adv	_	-
18	hineinzugelangen	hineinzugelangen	ADV	ADJD	_	0	root	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|Nom|Sg	2	det	_	-
2	Diskussion	Diskussion	N	NN	Fem|Nom|Sg	8	subj	_	-
3	um	um	PREP	APPR	Acc	2	pp	_	-
4	frühes	früh	ADJA	ADJA	Pos|Neut|Acc|Sg|St|	5	attr	_	-
5	Ausscheiden	Ausscheide	N	NN	Neut|Acc|Sg	3	pn	_	-
6	durch	durch	PREP	APPR	Acc	5	pp	_	-
7	Altersteilzeit	Altersteilzeit	N	NN	Fem|Acc|Sg	6	pn	_	-
8	bringt	bringen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
9	diesen	diese	ART	PDAT	_|Dat|Pl	10	det	_	-
10	Joblosen	Joblos	N	NN	_|Dat|Pl	8	objd	_	-
11	nichts	nichts	PRO	PIS	_	8	obja	_	-
12	:	\:	$.	$.	_	0	root	_	-
13	Sie	sie	PRO	PPER	3|Pl|_|Nom	14	subj	_	(14)
14	können	können	V	VMFIN	3|Pl|Pres|_	0	root	_	-
15	nicht	nicht	PTKNEG	PTKNEG	_	18	adv	_	-
16	in	in	PREP	APPR	_	18	pp	_	-
17	Altersteilzeit	Altersteilzeit	N	NN	Fem|_|Sg	16	pn	_	-
18	wechseln	wechseln	V	VVINF	_	14	aux	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Neut|Nom|Pl	2	det	_	-
2	Unternehmen	Unternehmen	N	NN	Neut|Nom|Pl	3	subj	_	-
3	müssen	müssen	V	VMFIN	3|Pl|Pres|_	0	root	_	-
4	in	in	PREP	APPR	_	7	pp	_	-
5	Zukunft	Zukunft	N	NN	Fem|_|Sg	4	pn	_	-
6	jedoch	jedoch	ADV	ADV	_	7	adv	_	-
7	umdenken	umdenken	V	VVINF	_	3	aux	_	-
8	.	.	$.	$.	_	0	root	_	-

