1	Um	Um	KOUI	KOUI	_	0	root	_	-
19	der	die	PRO	PRELS	Masc|Nom|Sg	21	subj	_	(12)
20	das	die	PRO	PDS	Neut|_|Sg	21	obja	_	-
21	spiegele	spiegeln	V	VVFIN	3|Sg|Pres|Subj	16	rel	_	12)
22	was	was	PRO	PIS	_|Nom|Sg	24	subj	_	-
23	Amerika	Amerika	N	NE	Neut|Dat|Sg	24	objd	_	-
24	ausmache	ausmachen	V	VVFIN	3|Sg|Pres|Subj	0	root	_	-
25	:	\:	$.	$.	_	0	root	_	-
26	Mut	Mut	N	NN	Masc|_|Sg	0	root	_	-
27	,	,	$,	$,	_	0	root	_	-
28	Tapferkeit	Tapferkeit	N	NN	Fem|_|Sg	26	kon	_	-
29	,	,	$,	$,	_	0	root	_	-
30	Intelligenz	Intelligenz	N	NN	Fem|_|Sg	28	kon	_	-
31	und	und	KON	KON	_	30	kon	_	-
32	Leistung	Leistung	N	NN	Fem|_|Sg	31	cj	_	-
33	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|_|Sg	2	det	_	-
2	Kino-Stunde	Kino-Stunde	N	NN	Fem|_|Sg	0	root	_	-
3	der	die	ART	ART	Def|Masc|Gen|Pl	4	det	_	-
4	Patrioten	Patriot	N	NN	Masc|Gen|Pl	2	gmod	_	-
5	!	!	$.	$.	_	0	root	_	-

1	Um	Um	KOUI	KOUI	_	0	root	_	-
2	die	die	ART	ART	Def|Fem|Nom|Sg	4	det	_	-
3	amerikanische	amerikanisch	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	4	attr	_	-
4	Moral	Moral	N	NN	Fem|Nom|Sg	5	subj	_	-
5	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
6	es	es	PRO	PPER	3|Sg|Neut|_	5	obja	_	-
7	ähnlich	ähnlich	ADV	ADJD	Pos|	8	adv	_	-
8	schlecht	schlecht	ADV	ADJD	Pos|	5	adv	_	-
9	wie	wie	KOKOM	KOKOM	_	5	kom	_	-
10	um	um	PREP	APPR	Acc	9	cj	_	-
11	die	die	ART	ART	Def|Fem|Acc|Pl	12	det	_	-
12	Finanzen	Finanz	N	NN	Fem|Acc|Pl	10	pn	_	-
13	der	die	ART	ART	Def|Fem|Gen|Sg	14	det	_	(13
14	NASA	NASA	N	NN	Fem|Gen|Sg	12	gmod	_	13)
15	stehen	stehen	V	VVINF	_	0	root	_	-
16	,	,	$,	$,	_	0	root	_	-
17	wenn	wenn	KOUS	KOUS	_	21	konj	_	-
18	so	so	ADV	ADV	_	20	adv	_	-
19	darum	darum	PROAV	PROAV	_	20	objp	_	-
20	gebuhlt	buhlen	V	VVPP	_	21	aux	_	-
21	wird	werden	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
22	.	.	$.	$.	_	0	root	_	-

