1	Nein	nein	PTKANT	PTKANT	_	0	root	_	-
20	für	für	PREP	APPR	Acc	19	pp	_	-
21	andere	andere	ADJA	ADJA	_|Masc|Dat|Pl|_	22	attr	_	-
22	EU-Staaten	EU-Staat	N	NN	Masc|Dat|Pl	20	pn	_	-
23	,	,	$,	$,	_	0	root	_	-
24	endlich	endlich	ADV	ADJD	Pos|	30	adv	_	-
25	selbst	selbst	ADV	ADV	_	30	adv	_	-
26	in	in	PREP	APPR	Dat	30	pp	_	-
27	größerem	groß	ADJA	ADJA	Comp|Masc|Dat|Sg|St|	28	attr	_	-
28	Umfang	Umfang	N	NN	Masc|Dat|Sg	26	pn	_	-
29	Flüchtlinge	Flüchtling	N	NN	Masc|_|Pl	30	obja	_	-
30	aufzunehmen	aufnehmen	V	VVIZU	_	22	obji	_	-
31	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Die	die	PRO	PDS	_|Nom|Pl	3	subj	_	-
3	sagen	sagen	V	VVFIN	3|Pl|Pres|_	0	root	_	-
4	dann	dann	ADV	ADV	_	3	adv	_	-
5	vielleicht	vielleicht	ADV	ADV	_	3	adv	_	-
6	,	,	$,	$,	_	0	root	_	-
7	jetzt	jetzt	ADV	ADV	_	8	adv	_	-
8	müssen	müssen	V	VMFIN	1|Pl|Pres|_	3	s	_	-
9	wir	wir	PRO	PPER	1|Pl|_|Nom	8	subj	_	-
10	nicht	nicht	PTKNEG	PTKNEG	_	8	adv	_	-
11	mehr	mehr	ADV	ADV	_	10	adv	_	-
12	ran	ran	ADV	ADV	_	8	adv	_	-
13	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Ausschließen	Ausschließen	N	NN	Neut|Dat|Sg	3	objd	_	-
3	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
4	das	die	PRO	PDS	Neut|Nom|Sg	3	subj	_	-
5	auch	auch	ADV	ADV	_	3	adv	_	-
6	das	die	ART	ART	Def|Neut|_|Sg	8	det	_	-
7	Bonner	Bonner	ADJA	ADJA	Pos|Neut|_|Sg|_|	8	attr	_	-
8	Ministerium	Ministerium	N	NN	Neut|_|Sg	3	obja	_	-
9	nicht	nicht	PTKNEG	PTKNEG	_	3	adv	_	-
10	.	.	$.	$.	_	0	root	_	-

1	795.000	795.000	CARD	CARD	_	2	attr	_	-
2	Menschen	Mensch	N	NN	Masc|Nom|Pl	3	subj	_	-
3	sind	sein	V	VAFIN	3|Pl|Pres|Ind	0	root	_	-
4	nach	nach	PREP	APPR	Dat	11	pp	_	-
5	neuesten	neu	ADJA	ADJA	Sup|Fem|Dat|Pl|_|	6	attr	_	-
6	Schätzungen	Schätzung	N	NN	Fem|Dat|Pl	4	pn	_	-
7	des	die	ART	ART	Def|_|Gen|Sg	8	det	_	-
8	UNHCR	UNHCR	N	NN	_|Gen|Sg	6	gmod	_	-
9	seit	seit	PREP	APPR	Dat	11	pp	_	-
10	März	März	N	NN	_|Dat|_	9	pn	_	-
11	geflohen	fliehen	V	VVPP	_	3	aux	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Angesichts	angesichts	PREP	APPR	Gen	4	pp	_	-
2	solcher	solche	ART	PIDAT	Fem|Gen|Pl	3	det	_	-
3	Zahlen	Zahl	N	NN	Fem|Gen|Pl	1	pn	_	-
4	dringt	dringen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
5	man	man	PRO	PIS	_|Nom|Sg	4	subj	_	-
6	auch	auch	ADV	ADV	_	4	adv	_	-
7	in	in	PREP	APPR	_	4	pp	_	-
8	Bonn	Bonn	N	NE	Neut|_|Sg	7	pn	_	-
9	auf	auf	PREP	APPR	Acc	4	objp	_	-
10	eine	eine	ART	ART	Indef|Fem|Acc|Sg	12	det	_	-
11	EU-weite	EU-weit	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	12	attr	_	-
12	Lösung	Lösung	N	NN	Fem|Acc|Sg	9	pn	_	-
13	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Die	die	ART	ART	Def|Fem|Nom|Sg	3	det	_	-
3	Frage	Frage	N	NN	Fem|Nom|Sg	4	subj	_	-
4	bleibt	bleiben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
5	:	\:	$.	$.	_	0	root	_	-
6	Einigt	einigen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
7	sich	sie	PRO	PRF	3|_|_	6	obja	_	-
8	Europa	Europa	N	NE	_|Nom|Sg	6	subj	_	-
9	?	?	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-

