1	Am	Am	PTKA	PTKA	_	2	adv	_	-
2	war	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	-
3	ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(3)
4	rechtschaffen	rechtschaffen	V	VVINF	_	0	root	_	-
5	empört	empört	ADV	ADJD	Pos|	0	root	_	-
6	,	,	$,	$,	_	0	root	_	-
7	als	als	KOKOM	KOKOM	_	30	kom	_	-
8	das	die	ART	ART	Def|Neut|_|Sg	11	det	_	-
9	"	"	$(	$(	_	0	root	_	-
10	häßliches	häßlich	ADJA	ADJA	Pos|Neut|_|Sg|St|	11	attr	_	-
11	Entlein	Entlein	N	NN	Masc|Nom|Sg	7	cj	_	-
12	"	"	$(	$(	_	0	root	_	-
13	Flux	Flux	N	NE	Masc|Nom|Sg	11	app	_	-
14	V	V	CARD	CARD	_	15	attr	_	-
15	200	200	CARD	CARD	_	13	app	_	-
16	vom	von	PREP	APPRART	Dat	11	pp	_	-
17	ADFC	ADFC	N	NN	_|Dat|_	16	pn	_	-
18	(	(	$(	$(	_	0	root	_	-
19	Allgemeiner	Allgemeine	N	NN	Masc|Nom|Sg	11	app	_	-
20	Deutscher	deutsch	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	21	attr	_	-
21	Fahrrad-Club	Fahrrad-Club	N	NN	Masc|Nom|Sg	19	app	_	-
22	)	)	$(	$(	_	0	root	_	-
23	zum	zu	PREP	APPRART	Dat	19	pp	_	-
24	"	"	$(	$(	_	0	root	_	-
25	Fahrrad	Fahrrad	N	NN	Neut|Dat|Sg	23	pn	_	-
26	des	die	ART	ART	Def|Neut|Gen|Sg	27	det	_	-
27	Jahres	Jahr	N	NN	Neut|Gen|Sg	25	gmod	_	-
28	1999	1999	CARD	CARD	_	27	app	_	-
29	"	"	$(	$(	_	0	root	_	-
30	gekürt	küren	V	VVPP	_	31	aux	_	-
31	wurde	werden	V	VAFIN	_|Sg|Past|Ind	0	root	_	-
32	.	.	$.	$.	_	0	root	_	-

1	Zu	zu	PREP	APPR	Dat	4	pp	_	-
2	allem	alle	ART	PIDAT	Masc|Dat|Sg	3	det	_	-
3	Überfluß	Überfluß	N	NN	Masc|Dat|Sg	1	pn	_	-
4	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
5	"	"	$(	$(	_	0	root	_	-
6	der	die	ART	ART	Def|Masc|Nom|Sg	8	det	_	(4
7	beste	gut	ADJA	ADJA	Sup|Masc|Nom|Sg|Wk|	8	attr	_	-
8	Fahrradhändler	Fahrradhändler	N	NN	Masc|Nom|Sg	4	subj	_	-
9	von	von	PREP	APPR	Dat	8	pp	_	-
10	allen	alle	ART	PIDAT	_|Dat|Pl	9	pn	_	4)
11	"	"	$(	$(	_	0	root	_	-
12	(	(	$(	$(	_	0	root	_	-
13	also	also	ADV	ADV	_	0	root	_	-
14	meiner	meine	ART	PPOSAT	_|_|_	0	root	_	(3)
15	)	)	$(	$(	_	0	root	_	-
16	das	die	ART	ART	Def|Neut|_|Sg	17	det	_	-
17	Ding	Ding	N	NN	Neut|_|Sg	0	root	_	-
18	auch	auch	ADV	ADV	_	21	adv	_	-
19	noch	noch	ADV	ADV	_	20	adv	_	-
20	fett	fett	ADV	ADJD	Pos|	21	adv	_	-
21	in	in	PREP	APPR	Dat	17	pp	_	-
22	seinem	seine	ART	PPOSAT	Neut|Dat|Sg	23	det	_	(4)
23	Schaufenster	Schaufenster	N	NN	Neut|Dat|Sg	21	pn	_	-
24	plaziert	plazieren	V	VVPP	_	0	root	_	-
25	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Von	Von	N	NN	_|_|Sg	0	root	_	-
3	wegen	wegen	PREP	APPR	Dat	2	pp	_	-
4	Liegefahrrad	Liegefahrrad	N	NN	Neut|Dat|Sg	3	pn	_	-
5	,	,	$,	$,	_	0	root	_	-
6	mit	mit	PREP	APPR	Dat	8	pp	_	-
7	dem	die	PRO	PDS	_|Dat|Sg	6	pn	_	-
8	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
9	doch	doch	ADV	ADV	_	12	adv	_	-
10	jeder	jede	ART	PIDAT	Masc|Nom|Sg	11	det	_	-
11	Doofe	Doofe	N	NN	Masc|Nom|Sg	8	subj	_	-
12	fahren	fahren	V	VVINF	_	8	aux	_	-
13	"	"	$(	$(	_	0	root	_	-
14	,	,	$,	$,	_	0	root	_	-
15	so	so	ADV	ADV	_	18	adv	_	-
16	meine	meine	ART	PPOSAT	_|_|Sg	18	det	_	(3)
17	erste	erst	ADJA	ADJA	_|_|_|Sg|_|	18	attr	_	-
18	Reaktion	Reaktion	N	NN	_|_|Sg	0	root	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Denn	denn	KON	KON	_	0	root	_	-
2	merke	merken	V	VVFIN	_|Sg|Pres|_	1	cj	_	-
3	:	\:	$.	$.	_	0	root	_	-
4	Wir	wir	PRO	PPER	1|Pl|_|Nom	0	root	_	(5)
5	Liegeradfahrer	Liegeradfahrer	N	NN	Masc|Nom|Pl	6	subj	_	-
6	halten	halten	V	VVFIN	3|Pl|Pres|_	0	root	_	-
7	uns	wir	PRO	PPER	1|Pl|_|_	6	obja	_	(5)
8	für	für	PREP	APPR	Acc	6	objp	_	-
9	Künstler	Künstler	N	NN	Masc|Acc|_	8	pn	_	-
10	,	,	$,	$,	_	0	root	_	-
11	für	für	PREP	APPR	Acc	8	kon	_	-
12	Artisten	Artist	N	NN	Masc|Acc|_	11	pn	_	-
13	in	in	PREP	APPR	Dat	12	pp	_	-
14	der	die	ART	ART	Def|Fem|Dat|Sg	15	det	_	-
15	Zunft	Zunft	N	NN	Fem|Dat|Sg	13	pn	_	-
16	der	die	ART	ART	Def|_|Gen|_	17	det	_	-
17	Velozipisten	Velozipisten	N	NN	_|Gen|_	15	gmod	_	-
18	.	.	$.	$.	_	0	root	_	-

1	Dabei	Dabei	PROAV	PROAV	_	2	pp	_	-
2	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
3	eigentlich	eigentlich	ADV	ADV	_	2	adv	_	-
4	alles	alle	PRO	PIS	Neut|Nom|Sg	2	subj	_	-
5	ganz	ganz	ADV	ADV	_	6	adv	_	-
6	simpel	simpel	ADV	ADJD	Pos|	2	pred	_	-
7	.	.	$.	$.	_	0	root	_	-

1	Man	man	PRO	PIS	_|Nom|Sg	2	subj	_	-
2	darf	dürfen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
3	nur	nur	ADV	ADV	_	8	adv	_	-
4	nicht	nicht	PTKNEG	PTKNEG	_	8	adv	_	-
5	vor	vor	PREP	APPR	_	8	pp	_	-
6	lauter	lauter	ART	PIAT	Masc|_|Sg	7	det	_	-
7	Respekt	Respekt	N	NN	Masc|_|Sg	5	pn	_	-
8	vergessen	veressen	V	VVPP	_	10	neb	_	-
9	,	,	$,	$,	_	0	root	_	-
10	beherzt	beherzen	V	VVFIN	_|_|Pres|Ind	0	root	_	-
11	in	in	PREP	APPR	Acc	15	objp	_	-
12	die	die	ART	ART	Def|Neut|Acc|Pl	13	det	_	-
13	Pedale	Pedal	N	NN	Neut|Acc|Pl	11	pn	_	-
14	zu	zu	PTKZU	PTKZU	_	15	part	_	-
15	treten	treten	V	VVINF	_	10	obji	_	-
16	.	.	$.	$.	_	0	root	_	-

1	Hat	haben	V	VAFIN	3|Sg|Pres|Ind	6	neb	_	-
2	man	man	PRO	PIS	_|Nom|Sg	1	subj	_	-
3	das	die	PRO	PDS	Neut|_|Sg	4	obja	_	-
4	begriffen	begreifen	V	VVPP	_	1	aux	_	-
5	,	,	$,	$,	_	0	root	_	-
6	fällt	fallen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
7	man	man	PRO	PIS	_|Nom|Sg	6	subj	_	-
8	garantiert	garantieren	V	VVFIN	_|_|Pres|Ind	0	root	_	-
9	nicht	nicht	PTKNEG	PTKNEG	_	8	adv	_	-
10	mehr	mehr	ADV	ADV	_	9	adv	_	-
11	um	um	PTKVZ	PTKVZ	_	8	avz	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Aber	aber	KON	KON	_	0	root	_	-
2	das	die	PRO	PDS	Neut|_|Sg	13	obja	_	-
3	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	1	cj	_	-
4	man	man	PRO	PIS	_|Nom|Sg	3	subj	_	-
5	den	die	ART	ART	Def|Masc|Dat|Pl	7	det	_	-
6	vielen	viele	ART	PIDAT	Masc|Dat|Pl	7	attr	_	-
7	Bewunderern	Bewunderer	N	NN	Masc|Dat|Pl	13	objd	_	-
8	ja	ja	ADV	ADV	_	13	adv	_	-
9	nicht	nicht	PTKNEG	PTKNEG	_	13	adv	_	-
10	auf	auf	PREP	APPR	Acc	13	objp	_	-
11	die	die	ART	ART	Def|Fem|Acc|Sg	12	det	_	-
12	Nase	Nase	N	NN	Fem|Acc|Sg	10	pn	_	-
13	binden	binden	V	VVINF	_	3	aux	_	-
14	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Nun	nun	ADV	ADV	_	3	adv	_	-
3	setz	setzen	V	VVIMP	Sg	0	root	_	-
4	dich	du	PRO	PRF	2|Sg|Acc	3	obja	_	-
5	erst	erst	ADV	ADV	_	6	adv	_	-
6	mal	mal	ADV	ADV	_	3	adv	_	-
7	drauf	drauf	PTKVZ	PTKVZ	_	3	avz	_	-
8	und	und	KON	KON	_	0	root	_	-
9	fahr	fahr	V	VVFIN	_|Sg|_|_	0	root	_	-
10	eine	eine	ART	ART	Indef|Fem|Nom|Sg	11	det	_	-
11	Runde	Rund	N	NN	Fem|Nom|Sg	9	subj	_	-
12	"	"	$(	$(	_	0	root	_	-
13	,	,	$,	$,	_	0	root	_	-
14	versuchte	versuchen	V	VVFIN	3|Sg|Past|_	9	s	_	-
15	mich	ich	PRO	PPER	1|Sg|_|Acc	14	obja	_	(6)
16	mein	meine	ART	PPOSAT	Masc|Nom|Sg	17	det	_	(6)
17	Fahrradhändler	Fahrradhändler	N	NN	Masc|Nom|Sg	14	subj	_	-
18	zu	zu	PTKZU	PTKZU	_	19	part	_	-
19	besänftigen	besänftigen	V	VVINF	_	14	obji	_	-
20	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Ich	ich	PRO	PPER	1|Sg|_|Nom	0	root	_	(6)
3	auf	auf	PREP	APPR	Dat	2	pp	_	-
4	so	so	ADV	ADV	_	6	adv	_	-
5	einem	eine	ART	ART	Indef|_|Dat|Sg	6	det	_	-
6	Teil	Teil	N	NN	_|Dat|Sg	3	pn	_	-
7	?	?	$.	$.	_	0	root	_	-

1	Ich	ich	PRO	PPER	1|Sg|_|Nom	2	subj	_	(6)
2	bin	sein	V	VAFIN	1|Sg|Pres|Ind	0	root	_	-
3	Liegeradfahrer	Liegeradfahrer	N	NN	Masc|Nom|_	2	pred	_	(7)
4	und	und	KON	KON	_	3	kon	_	-
5	kein	keine	ART	PIAT	Masc|Nom|Sg	6	det	_	-
6	Testpilot	Testpilot	N	NN	Masc|Nom|Sg	4	cj	_	-
7	für	für	PREP	APPR	Acc	6	pp	_	-
8	häßliche	häßlich	ADJA	ADJA	Pos|Fem|Acc|Pl|St|	9	attr	_	-
9	Enten	Ente	N	NN	Fem|Acc|Pl	7	pn	_	-
10	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Nach	nach	PREP	APPR	Dat	7	pp	_	-
3	einer	eine	ART	ART	Indef|Fem|Dat|Sg	6	det	_	-
4	etwas	etwas	ADV	ADV	_	5	adv	_	-
5	heftigeren	heftig	ADJA	ADJA	Comp|Fem|Dat|Sg|Wk|	6	attr	_	-
6	Debatte	Debatte	N	NN	Fem|Dat|Sg	2	pn	_	-
7	war	sein	V	VAFIN	1|Sg|Past|Ind	0	root	_	-
8	ich	ich	PRO	PPER	1|Sg|_|Nom	7	subj	_	(6)
9	runter	runter	ADV	ADV	_	7	adv	_	-
10	von	von	PREP	APPR	Dat	7	pp	_	-
11	meinem	meine	ART	PPOSAT	Neut|Dat|Sg	13	det	_	(6)
12	hohen	hoch	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	13	attr	_	-
13	Roß	Roß	N	NN	Neut|Dat|Sg	10	pn	_	-
14	und	und	KON	KON	_	7	kon	_	-
15	stieg	steigen	V	VVFIN	_|Sg|Past|Ind	14	cj	_	-
16	rauf	rauf	ADV	ADJD	_	15	adv	_	-
17	aufs	auf	PREP	APPRART	Acc	15	pp	_	-
18	halbhohe	halbhoch	ADJA	ADJA	Pos|Neut|Acc|Sg|Wk|	19	attr	_	-
19	Velo	Velo	N	NN	Neut|Acc|Sg	17	pn	_	-
20	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Masc|Nom|Pl	3	det	_	-
2	ersten	erst	ADJA	ADJA	_|Masc|Nom|Pl|Wk|	3	attr	_	-
3	Fahreindrücke	Fahreindruck	N	NN	Masc|Nom|Pl	9	subj	_	-
4	auf	auf	PREP	APPR	Dat	3	pp	_	-
5	dem	die	ART	ART	Def|Neut|Dat|Sg	8	det	_	-
6	sehr	sehr	ADV	ADV	_	7	adv	_	-
7	bequemen	bequem	ADJA	ADJA	Pos|Neut|Dat|Sg|Wk|	8	attr	_	-
8	Fahrrad	Fahrrad	N	NN	Neut|Dat|Sg	4	pn	_	-
9	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	-
10	ohne	ohne	PREP	APPR	Acc	9	pp	_	-
11	Fehl	Fehl	N	NN	_|Acc|Sg	10	pn	_	-
12	und	und	KON	KON	_	11	kon	_	-
13	Tadel	Tadel	N	NN	Masc|Acc|_	12	cj	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Kopfsteinpflasterpassagen	Kopfsteinpflasterpassage	N	NN	Neut|Nom|Sg	18	subj	_	(8
2	,	,	$,	$,	_	0	root	_	-
3	die	die	PRO	PRELS	_|_|_	16	obja	_	(8)
4	mein	meine	ART	PPOSAT	Masc|Nom|Sg	5	det	_	(6)
5	Edellieger	Edellieger	N	NN	Masc|Nom|Sg	16	subj	_	-
6	(	(	$(	$(	_	0	root	_	-
7	ich	ich	PRO	PPER	1|Sg|_|Nom	8	subj	_	(6)
8	fahre	fahren	V	VVFIN	1|Sg|Pres|_	5	par	_	-
9	eines	eine	PRO	PIS	_|_|Sg	8	obja	_	-
10	dieser	diese	ART	PDAT	Neut|Gen|Pl	11	det	_	-
11	5.000-Mark-Produkte	5.000-Mark-Produkt	N	NN	Neut|Gen|Pl	9	gmod	_	-
12	)	)	$(	$(	_	0	root	_	-
13	nur	nur	ADV	ADV	_	16	adv	_	-
14	mit	mit	PREP	APPR	Dat	16	pp	_	-
15	Bocken	Bocken	N	NE	_|Dat|_	14	pn	_	-
16	nimmt	nehmen	V	VVFIN	3|Sg|Pres|Ind	1	rel	_	8)
17	,	,	$,	$,	_	0	root	_	-
18	glättete	glätten	V	VVFIN	3|Sg|Past|_	0	root	_	-
19	das	die	ART	ART	Def|Neut|_|Sg	20	det	_	(9
20	Flux	Flux	N	NN	Neut|_|Sg	18	obja	_	9)
21	ohne	ohne	KOUI	KOUI	_	23	konj	_	-
22	zu	zu	PTKZU	PTKZU	_	23	part	_	-
23	murren	murren	V	VVINF	_	18	neb	_	-
24	weg	weg	PTKVZ	PTKVZ	_	0	root	_	-
25	wie	wie	KOKOM	KOKOM	_	29	kom	_	-
26	Omas	Oma	N	NN	_|_|_	25	cj	_	-
27	Bügeleisen	Bügeleisen	N	NN	_|_|_	26	app	_	-
28	das	die	ART	ART	Def|Neut|_|Sg	29	det	_	-
29	Faltenröckchen	Faltenröckchen	N	NN	Neut|_|Sg	0	root	_	-
30	.	.	$.	$.	_	0	root	_	-

1	Im	in	PREP	APPRART	Dat	6	pp	_	-
2	Unterschied	Unterschied	N	NN	Masc|Dat|Sg	1	pn	_	-
3	zum	zu	PREP	APPRART	Dat	2	pp	_	-
4	klassischen	klassisch	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	5	attr	_	-
5	Lieger	Lieger	N	NN	Masc|Dat|Sg	3	pn	_	-
6	gewann	gewinnen	V	VVFIN	1|Sg|Past|Ind	0	root	_	-
7	ich	ich	PRO	PPER	1|Sg|_|Nom	6	subj	_	(6)
8	durch	durch	PREP	APPR	Acc	6	pp	_	-
9	die	die	ART	ART	Def|Fem|Acc|Sg	11	det	_	-
10	hohe	hoch	ADJA	ADJA	Pos|Fem|Acc|Sg|_|	11	attr	_	-
11	Sitzposition	Sitzposition	N	NN	Fem|Acc|Sg	8	pn	_	-
12	deutlich	deutlich	ADV	ADJD	Pos|	6	adv	_	-
13	an	an	PREP	APPR	_	6	pp	_	-
14	Übersicht	Übersicht	N	NN	Fem|_|Sg	13	pn	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Bei	bei	PREP	APPR	Dat	12	pp	_	-
2	einem	eine	ART	ART	Indef|Masc|Dat|Sg	5	det	_	-
3	anschließenden	anschließend	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|_	5	attr	_	-
4	direkten	direkt	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	5	attr	_	-
5	Vergleich	Vergleich	N	NN	Masc|Dat|Sg	1	pn	_	-
6	zwischen	zwischen	PREP	APPR	Dat	5	pp	_	-
7	meinem	meine	ART	PPOSAT	Neut|Dat|Sg	8	det	_	(6)
8	Liegerad	Liegerad	N	NN	Neut|Dat|Sg	6	pn	_	-
9	und	und	KON	KON	_	8	kon	_	-
10	dem	die	ART	ART	Def|Neut|Dat|Sg	11	det	_	-
11	City-Komfortrad	City-Komfortrad	N	NN	Neut|Dat|Sg	9	cj	_	-
12	kam	kommen	V	VVFIN	1|Sg|Past|Ind	0	root	_	-
13	ich	ich	PRO	PPER	1|Sg|_|Nom	12	subj	_	(6)
14	zu	zu	PREP	APPR	Dat	12	objp	_	-
15	erstaunlichen	erstaunlichen	ADJA	ADJA	_|_|Dat|_|_	16	attr	_	-
16	Erkenntnissen	Erkenntnis	N	NN	_|Dat|_	14	pn	_	-
17	.	.	$.	$.	_	0	root	_	-

1	Als	Als	KOKOM	KOKOM	_	3	kom	_	-
2	Teststrecke	Teststrecke	N	NN	Fem|_|Sg	1	cj	_	-
3	diente	dienen	V	VVFIN	3|Sg|Past|_	0	root	_	-
4	ein	eine	ART	ART	Indef|Masc|Nom|Sg	5	det	_	-
5	Parcours	Parcours	N	NN	Masc|Nom|Sg	3	subj	_	-
6	mit	mit	PREP	APPR	Dat	3	pp	_	-
7	Kopfsteinpflaster	Kopfsteinpflaster	N	NN	Neut|Dat|Sg	6	pn	_	-
8	,	,	$,	$,	_	0	root	_	-
9	Straßenbahnschienen	Straßenbahnschiene	N	NN	_|Dat|_	7	kon	_	-
10	,	,	$,	$,	_	0	root	_	-
11	Asphaltstraßen	Asphaltstraß	N	NN	_|Dat|Pl	9	kon	_	-
12	und	und	KON	KON	_	11	kon	_	-
13	einem	eine	ART	ART	Indef|Masc|Dat|Sg	15	det	_	-
14	befestigten	befestigt	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	15	attr	_	-
15	Weg	Weg	N	NN	Masc|Dat|Sg	12	cj	_	-
16	entlang	entlang	PREP	APPR	Gen	3	pp	_	-
17	eines	eine	ART	ART	Indef|Masc|Gen|Sg	18	det	_	-
18	Stadtsees	Stadtsee	N	NN	Masc|Gen|Sg	16	pn	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Anfangs	anfangs	ADV	ADV	_	2	adv	_	-
2	spielte	spielen	V	VVFIN	3|Sg|Past|_	0	root	_	-
3	das	die	ART	ART	Def|Neut|Nom|Sg	4	det	_	(9
4	Flux	Flux	N	NN	Neut|Nom|Sg	2	subj	_	9)
5	seine	seine	ART	PPOSAT	_|_|_	6	det	_	(9)
6	Stärken	Stärke	N	NN	_|_|_	2	obja	_	-
7	als	als	KOKOM	KOKOM	_	2	kom	_	-
8	City-Bike	City-Bike	N	NN	_	7	cj	_	-
9	voll	voll	ADV	ADJD	Pos|	2	adv	_	-
10	aus	aus	PTKVZ	PTKVZ	_	2	avz	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Vollfederung	Vollfederung	N	NN	Fem|Nom|Sg	18	subj	_	-
2	,	,	$,	$,	_	0	root	_	-
3	große	groß	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	4	attr	_	-
4	Übersicht	Übersicht	N	NN	Fem|Nom|Sg	1	kon	_	-
5	und	und	KON	KON	_	4	kon	_	-
6	die	die	ART	ART	Def|Fem|Nom|Sg	7	det	_	-
7	Möglichkeit	Möglichkeit	N	NN	Fem|Nom|Sg	5	cj	_	-
8	,	,	$,	$,	_	0	root	_	-
9	Gepäcktaschen	Gepäcktasche	N	NN	Fem|_|Pl	14	obja	_	-
10	für	für	PREP	APPR	Acc	9	pp	_	-
11	den	die	ART	ART	Def|Masc|Acc|Sg	12	det	_	-
12	Einkauf	Einkauf	N	NN	Masc|Acc|Sg	10	pn	_	-
13	problemlos	problemlos	ADV	ADJD	Pos|	14	adv	_	-
14	befestigen	befestigen	V	VVINF	_	16	aux	_	-
15	zu	zu	PTKZU	PTKZU	_	16	part	_	-
16	können	können	V	VMINF	_	7	obji	_	-
17	,	,	$,	$,	_	0	root	_	-
18	stehen	stehen	V	VVFIN	_|Pl|Pres|_	0	root	_	-
19	auf	auf	PREP	APPR	Dat	18	objp	_	-
20	der	die	ART	ART	Def|Fem|Dat|Sg	21	det	_	-
21	Habenseite	Habenseite	N	NN	Fem|Dat|Sg	19	pn	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Allerdings	allerdings	ADV	ADV	_	0	root	_	-
2	:	\:	$.	$.	_	0	root	_	-
3	Das	die	ART	ART	Def|Neut|Nom|Sg	6	det	_	-
4	relativ	relativ	ADV	ADJD	Pos|	5	adv	_	-
5	hohe	hoch	ADJA	ADJA	Pos|Neut|Nom|Sg|Wk|	6	attr	_	-
6	Gewicht	Gewicht	N	NN	Neut|Nom|Sg	7	subj	_	-
7	läßt	lassen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
8	es	es	PRO	PPER	3|Sg|Neut|_	7	obja	_	-
9	für	für	PREP	APPR	Acc	13	pp	_	-
10	längere	lang	ADJA	ADJA	Comp|_|Acc|_|_|	11	attr	_	-
11	Strecken	Strecke	N	NN	_|Acc|_	9	pn	_	-
12	weniger	weniger	ADV	ADV	_	13	adv	_	-
13	geeignet	geeignet	ADV	ADJD	Pos|	7	pred	_	-
14	erscheinen	erscheinen	V	VVFIN	_|Pl|Pres|_	0	root	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Schon	schon	ADV	ADV	_	9	adv	_	-
2	auf	auf	PREP	APPR	Dat	9	pp	_	-
3	der	die	ART	ART	Def|Fem|Dat|Sg	5	det	_	-
4	geraden	gerade	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	5	attr	_	-
5	Strecke	Strecke	N	NN	Fem|Dat|Sg	2	pn	_	-
6	am	an	PREP	APPRART	Dat	9	pp	_	-
7	See	See	N	NN	_|Dat|Sg	6	pn	_	-
8	entlang	entlang	APZR	APZR	_	6	part	_	-
9	war	sein	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
10	mein	meine	ART	PPOSAT	Masc|Nom|Sg	11	det	_	-
11	Lieger	Lieger	N	NN	Masc|Nom|Sg	9	subj	_	-
12	dem	die	ART	ART	Def|_|Dat|Sg	13	det	_	(9
13	Flux	Flux	N	NN	_|Dat|Sg	9	objd	_	9)
14	deutlich	deutlich	ADV	ADJD	Pos|	9	pred	_	-
15	an	an	PREP	APPR	_	9	pp	_	-
16	Geschwindigkeit	Geschwindigkeit	N	NN	Fem|_|Sg	15	pn	_	(10)
17	und	und	KON	KON	_	16	kon	_	-
18	Leichtigkeit	Leichtigkeit	N	NN	Fem|_|Sg	17	cj	_	-
19	beim	bei	PREP	APPRART	Dat	9	pp	_	-
20	Fahrverhalten	Fahrverhalten	N	NN	Neut|Dat|_	19	pn	_	-
21	überlegen	überlegen	V	VVINF	_	0	root	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Geschwindigkeit	Geschwindigkeit	N	NN	Fem|Nom|Sg	2	subj	_	(10)
2	spielt	spielen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
3	innerhalb	innerhalb	PREP	APPR	_	2	pp	_	-
4	der	die	ART	ART	Def|Fem|_|Sg	5	det	_	(12
5	Stadt	Stadt	N	NN	Fem|_|Sg	3	pn	_	12)
6	jedoch	jedoch	ADV	ADV	_	2	adv	_	-
7	eine	eine	ART	ART	Indef|Fem|_|Sg	10	det	_	-
8	eher	eher	ADV	ADV	_	9	adv	_	-
9	untergeordnete	untergeordnet	ADJA	ADJA	Pos|Fem|_|Sg|_|	10	attr	_	-
10	Rolle	Rolle	N	NN	Fem|_|Sg	2	obja	_	-
11	.	.	$.	$.	_	0	root	_	-

1	Nur	nur	ADV	ADV	_	0	root	_	-
2	wer	wer	PRO	PWS	_|Nom|Sg	8	subj	_	-
3	jederzeit	jederzeit	ADV	ADV	_	4	adv	_	-
4	mit	mit	PREP	APPR	Dat	8	objp	_	-
5	der	die	ART	ART	Def|Fem|Dat|Sg	6	det	_	-
6	Unachtsamkeit	Unachtsamkeit	N	NN	Fem|Dat|Sg	4	pn	_	-
7	anderer	anderer	ADJA	ADJA	_	8	obja	_	-
8	rechnet	rechnen	V	VVFIN	3|Sg|Pres|Ind	14	objc	_	-
9	und	und	KON	KON	_	8	kon	_	-
10	entsprechend	entsprechend	ADV	ADJD	_|_	12	adv	_	-
11	passiv	passiv	ADV	ADJD	Pos|	12	adv	_	-
12	fährt	fahren	V	VVFIN	3|Sg|Pres|Ind	9	cj	_	-
13	,	,	$,	$,	_	0	root	_	-
14	überlebt	überleben	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
15	als	als	KOKOM	KOKOM	_	14	kom	_	-
16	Fahrradfahrer	Fahrradfahrer	N	NN	Masc|_|_	15	cj	_	-
17	eine	eine	ART	ART	Indef|Fem|Nom|Sg	18	det	_	-
18	Stadt	Stadt	N	NN	Fem|Nom|Sg	14	subj	_	-
19	auf	auf	PREP	APPR	_	14	pp	_	-
20	Dauer	Dauer	N	NN	Fem|_|Sg	19	pn	_	-
21	ohne	ohne	PREP	APPR	Acc	14	pp	_	-
22	Blessuren	Blessur	N	NN	Fem|Acc|Pl	21	pn	_	-
23	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|Fem|_|Pl	3	det	_	-
2	hohen	hoch	ADJA	ADJA	Pos|Fem|_|Pl|Wk|	3	attr	_	-
3	Geschwindigkeiten	Geschwindigkeit	N	NN	Fem|_|Pl	0	root	_	-
4	,	,	$,	$,	_	0	root	_	-
5	mit	mit	PREP	APPR	Dat	10	pp	_	-
6	einem	eine	ART	ART	Indef|Neut|Dat|Sg	7	det	_	-
7	Liegefahrrad	Liegefahrrad	N	NN	Neut|Dat|Sg	5	pn	_	-
8	relativ	relativ	ADV	ADJD	Pos|	9	adv	_	-
9	leicht	leicht	ADV	ADJD	Pos|	10	adv	_	-
10	erreichbar	erreichbar	ADV	ADJD	Pos|	0	root	_	-
11	,	,	$,	$,	_	0	root	_	-
12	sind	sein	V	VAFIN	_|Pl|Pres|Ind	0	root	_	-
13	im	in	PREP	APPRART	Dat	12	pp	_	-
14	Verkehrsgewühl	Verkehrsgewühl	N	NN	_|Dat|_	13	pn	_	-
15	folglich	folglich	ADV	ADV	_	12	adv	_	-
16	kaum	kaum	ADV	ADV	_	17	adv	_	-
17	ausreizbar	ausreizbar	ADV	ADJD	Pos|	12	pred	_	-
