1	Wie	Wie	PWAV	PWAV	_	6	adv	_	-
6	Tagen	Tag	N	NN	Masc|Dat|Pl	3	pn	_	-
7	weitergeht	weitergehen	V	VVFIN	3|Sg|Pres|Ind	9	objc	_	-
8	,	,	$,	$,	_	0	root	_	-
9	hängt	hängen	V	VVFIN	_|_|Pres|Ind	0	root	_	-
10	auch	auch	ADV	ADV	_	9	adv	_	-
11	von	von	PREP	APPR	_	9	objp	_	-
12	Alan	Alan	N	NE	_|_|_	11	pn	_	(12
13	Greenspan	Greenspan	N	NE	_|_|_	12	app	_	12)
14	ab	ab	PTKVZ	PTKVZ	_	9	avz	_	-
15	,	,	$,	$,	_	0	root	_	-
16	dem	die	ART	ART	Def|Masc|Dat|Sg	17	det	_	-
17	Chef	Chef	N	NN	Masc|Dat|Sg	0	root	_	-
18	der	die	ART	ART	Def|Fem|Gen|Sg	19	det	_	-
19	US-Zentralbank	US-Zentralbank	N	NN	Fem|Gen|Sg	17	gmod	_	-
20	.	.	$.	$.	_	0	root	_	-

1	Gestern	gestern	ADV	ADV	_	2	adv	_	-
2	nach	nach	PREP	APPR	Dat	4	pp	_	-
3	Redaktionsschluß	Redaktionsschluß	N	NN	Masc|Dat|Sg	2	pn	_	-
4	wollte	wollen	V	VMFIN	3|Sg|Past|_	0	root	_	-
5	er	er	PRO	PPER	3|Sg|Masc|Nom	4	subj	_	(12)
6	eine	eine	ART	ART	Indef|Fem|_|Sg	7	det	_	-
7	Rede	Rede	N	NN	Fem|_|Sg	13	obja	_	-
8	vor	vor	PREP	APPR	Dat	13	pp	_	-
9	dem	die	ART	ART	Def|Masc|Dat|Sg	10	det	_	-
10	Kongreß	Kongreß	N	NN	Masc|Dat|Sg	8	pn	_	-
11	in	in	PREP	APPR	_	13	objp	_	-
12	Washington	Washington	N	NE	Neut|_|Sg	11	pn	_	-
13	halten	halten	V	VVINF	_	4	aux	_	-
14	.	.	$.	$.	_	0	root	_	-

1	Je	je	ADV	ADV	_	2	adv	_	-
2	nachdem	nachdem	PROAV	PROAV	_	23	pp	_	-
3	,	,	$,	$,	_	0	root	_	-
4	wie	wie	PWAV	PWAV	_	5	adv	_	-
5	stark	stark	ADV	ADJD	Pos|	12	adv	_	-
6	der	die	ART	ART	Def|Masc|Nom|Sg	7	det	_	(14
7	Guru	Guru	N	NN	Masc|Nom|Sg	12	subj	_	-
8	der	die	ART	ART	Def|Masc|Gen|Pl	9	det	_	-
9	Finanzhändler	Finanzhändler	N	NN	Masc|Gen|Pl	7	gmod	_	14)
10	die	die	ART	ART	Def|Fem|_|Pl	11	det	_	(13
11	Aktien	Aktie	N	NN	Fem|_|Pl	12	obja	_	13)
12	kritisiert	kritisieren	V	VVFIN	3|Sg|Pres|Ind	2	objc	_	-
13	und	und	KON	KON	_	12	kon	_	-
14	wie	wie	PWAV	PWAV	_	15	adv	_	-
15	stark	stark	ADV	ADJD	Pos|	21	adv	_	-
16	er	er	PRO	PPER	3|Sg|Masc|Nom	21	subj	_	(14)
17	die	die	ART	ART	Def|Fem|_|Sg	18	det	_	-
18	Gefahr	Gefahr	N	NN	Fem|_|Sg	21	obja	_	-
19	einer	eine	ART	ART	Indef|Fem|Gen|Sg	20	det	_	-
20	Inflation	Inflation	N	NN	Fem|Gen|Sg	18	gmod	_	-
21	sieht	sehen	V	VVFIN	3|Sg|Pres|Ind	13	cj	_	-
22	,	,	$,	$,	_	0	root	_	-
23	werden	werden	V	VAFIN	3|Pl|Pres|_	0	root	_	-
24	die	die	ART	ART	Def|Fem|Nom|Pl	25	det	_	(0
25	Börsen	Börse	N	NN	Fem|Nom|Pl	23	subj	_	0)
26	reagieren	reagieren	V	VVINF	_	23	aux	_	-
27	.	.	$.	$.	_	0	root	_	-

1	Bei	bei	PREP	APPR	Dat	3	pp	_	-
2	Börsenbeginn	Börsenbeginn	N	NN	Masc|Dat|Sg	1	pn	_	-
3	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
4	Wall	Wall	N	NE	_|Nom|Sg	3	subj	_	(15
5	Street	Street	N	NE	_|Nom|Sg	4	app	_	15)
6	erst	erst	ADV	ADV	_	3	adv	_	-
7	einmal	einmal	ADV	ADV	_	3	adv	_	-
8	nach	nach	PREP	APPR	Dat	3	pp	_	-
9	oben	oben	ADV	ADV	_	8	adv	_	-
10	.	.	$.	$.	_	0	root	_	-

1	Letzten	letzte	ADJA	ADJA	Pos|Masc|_|_|_|	2	attr	_	-
2	Dezember	Dezember	N	NN	Masc|_|_	3	zeit	_	-
3	hatte	haben	V	VAFIN	3|Sg|Past|Ind	0	root	_	-
4	Greenspan	Greenspan	N	NE	_|Nom|Sg	3	subj	_	(12)
5	den	die	ART	ART	Def|Masc|Dat|Pl	6	det	_	-
6	Aktienhändlern	Aktienhändler	N	NN	Masc|Dat|Pl	11	objd	_	-
7	schon	schon	ADV	ADV	_	11	adv	_	-
8	einmal	einmal	ADV	ADV	_	11	adv	_	-
9	einen	eine	ART	ART	Indef|Masc|Acc|Sg	10	det	_	-
10	Nasenstüber	Nasenstüber	N	NN	Masc|Acc|Sg	11	obja	_	-
11	verpaßt	verpaßt	V	VVPP	_	3	aux	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Er	er	PRO	PPER	3|Sg|Masc|Nom	2	subj	_	(12)
2	warnte	warnen	V	VVFIN	3|Sg|Past|_	0	root	_	-
3	vor	vor	PREP	APPR	Dat	2	pp	_	-
4	einer	eine	ART	ART	Indef|Fem|Dat|Sg	7	det	_	-
5	"	"	$(	$(	_	0	root	_	-
6	irrationalen	irrational	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	7	attr	_	-
7	Überschwenglichkeit	Überschwenglichkeit	N	NN	Fem|Dat|Sg	3	pn	_	-
8	"	"	$(	$(	_	0	root	_	-
9	der	die	ART	ART	Def|Masc|Gen|Pl	10	det	_	-
10	Anleger	Anleger	N	NN	Masc|Gen|Pl	7	gmod	_	-
11	,	,	$,	$,	_	0	root	_	-
12	weil	weil	KOUS	KOUS	_	24	konj	_	-
13	die	die	ART	ART	Def|Masc|Nom|Pl	14	det	_	-
14	Gewinne	Gewinn	N	NN	Masc|Nom|Pl	24	subj	_	-
15	der	die	ART	ART	Def|Neut|Gen|Pl	16	det	_	(5
16	Unternehmen	Unternehmen	N	NN	Neut|Gen|Pl	14	gmod	_	5)
17	bei	bei	PREP	APPR	Dat	23	pp	_	-
18	weitem	weit	ADJA	ADJA	Pos|_|Dat|Sg|St|	17	pn	_	-
19	nicht	nicht	PTKNEG	PTKNEG	_	23	adv	_	-
20	mit	mit	PREP	APPR	Dat	23	pp	_	-
21	den	die	ART	ART	Def|Masc|Dat|Pl	22	det	_	-
22	Aktienkursen	Aktienkurs	N	NN	Masc|Dat|Pl	20	pn	_	-
23	mithalten	mithalten	V	VVINF	_	24	aux	_	-
24	könnten	können	V	VMFIN	3|Pl|Past|Subj	2	neb	_	-
25	.	.	$.	$.	_	0	root	_	-

1	Auch	auch	ADV	ADV	_	2	adv	_	-
2	sprach	sprechen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
3	Greenspan	Greenspan	N	NE	_|Nom|Sg	2	subj	_	(12)
4	von	von	PREP	APPR	_	2	pp	_	-
5	der	die	ART	ART	Def|Fem|_|Sg	6	det	_	-
6	Gefahr	Gefahr	N	NN	Fem|_|Sg	4	pn	_	-
7	einer	eine	ART	ART	Indef|Fem|Gen|Sg	10	det	_	-
8	zu	zu	PTKA	PTKA	_	9	adv	_	-
9	hohen	hoch	ADJA	ADJA	Pos|Fem|Gen|Sg|Wk|	10	attr	_	-
10	Inflation	Inflation	N	NN	Fem|Gen|Sg	6	gmod	_	-
11	,	,	$,	$,	_	0	root	_	-
12	wenn	wenn	KOUS	KOUS	_	18	konj	_	-
13	die	die	ART	ART	Def|Fem|Nom|Sg	14	det	_	-
14	Wirtschaft	Wirtschaft	N	NN	Fem|Nom|Sg	18	subj	_	-
15	der	die	ART	ART	Def|_|Gen|_	16	det	_	-
16	USA	USA	N	NE	_|Gen|_	14	gmod	_	-
17	weiterhin	weiterhin	ADV	ADV	_	18	adv	_	-
18	boomt	boomen	V	VVFIN	3|Sg|Pres|Ind	2	neb	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Das	die	PRO	PDS	Neut|_|Sg	2	obja	_	-
2	deuteten	deuten	V	VVFIN	3|Pl|Past|_	0	root	_	-
3	die	die	ART	ART	Def|_|Nom|Pl	4	det	_	-
4	Börsianer	Börsianer	N	NN	_|Nom|Pl	2	subj	_	-
5	als	als	KOKOM	KOKOM	_	2	kom	_	-
6	eine	eine	ART	ART	Indef|Fem|_|Sg	7	det	_	-
7	Drohung	Drohung	N	NN	Fem|_|Sg	5	cj	_	-
8	mit	mit	PREP	APPR	Dat	7	pp	_	-
9	höheren	hoch	ADJA	ADJA	Comp|Masc|Dat|Pl|_|	10	attr	_	-
10	Zinsen	Zins	N	NN	Masc|Dat|Pl	8	pn	_	-
11	für	für	PREP	APPR	Acc	10	pp	_	-
12	Kredite	Kredit	N	NN	Masc|Acc|Pl	11	pn	_	-
13	oder	oder	KON	KON	_	12	kon	_	-
14	Staatsanleihen	Staatsanleihe	N	NN	_|Acc|_	13	cj	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Daraufhin	Daraufhin	PROAV	PROAV	_	2	pp	_	-
2	waren	sein	V	VAFIN	3|Pl|Past|Ind	0	root	_	-
3	die	die	ART	ART	Def|Masc|Nom|Pl	4	det	_	(2
4	Kurse	Kurs	N	NN	Masc|Nom|Pl	2	subj	_	2)
5	kurz	kurz	ADV	ADJD	Pos|	6	adv	_	-
6	nach	nach	PREP	APPR	Dat	8	pp	_	-
7	unten	unten	ADV	ADV	_	6	adv	_	-
8	gerauscht	rauschen	V	VVPP	_	2	aux	_	-
9	.	.	$.	$.	_	0	root	_	-

1	Dann	dann	ADV	ADV	_	2	adv	_	-
2	aber	aber	ADV	ADV	_	3	adv	_	-
3	setzte	setzen	V	VVFIN	3|Sg|Past|_	0	root	_	-
4	sich	sie	PRO	PRF	3|_|_	3	obja	_	-
5	der	die	ART	ART	Def|Masc|Nom|Sg	6	det	_	(16
6	Boom	Boom	N	NN	Masc|Nom|Sg	3	subj	_	16)
7	fort	fort	PTKVZ	PTKVZ	_	3	avz	_	-
8	,	,	$,	$,	_	0	root	_	-
9	bis	bis	KOUS	KOUS	_	16	konj	_	-
10	er	er	PRO	PPER	3|Sg|Masc|Nom	16	subj	_	(16)
11	schließlich	schließlich	ADV	ADV	_	10	adv	_	-
12	letzte	letzte	ADJA	ADJA	Pos|Fem|_|Sg|_|	13	attr	_	-
13	Woche	Woche	N	NN	Fem|_|Sg	16	zeit	_	-
14	zum	zu	PREP	APPRART	Dat	16	objp	_	-
15	Stillstand	Stillstand	N	NN	Masc|Dat|Sg	14	pn	_	-
16	kam	kommen	V	VVFIN	3|Sg|Past|Ind	3	neb	_	-
17	.	.	$.	$.	_	0	root	_	-

