1	Warum	Warum	PWAV	PWAV	_	7	adv	_	-
18	die	die	ART	ART	Def|Fem|Nom|Sg	20	det	_	-
19	ganze	ganz	ADJA	ADJA	Pos|Fem|Nom|Sg|_|	20	attr	_	-
20	Unternehmung	Unternehmung	N	NN	Fem|Nom|Sg	26	subj	_	-
21	als	als	KOKOM	KOKOM	_	24	kom	_	-
22	eher	eher	ADV	ADV	_	21	cj	_	-
23	ungültig	ungültig	ADV	ADJD	Pos|	24	adv	_	-
24	betrachtet	betrachten	V	VVPP	_	25	aux	_	-
25	werden	werden	V	VAINF	_	26	aux	_	-
26	könnte	können	V	VMFIN	3|Sg|Past|Subj	12	objc	_	-
27	,	,	$,	$,	_	0	root	_	-
28	falls	falls	KOUS	KOUS	_	37	konj	_	-
29	nämlich	nämlich	ADV	ADV	_	36	adv	_	-
30	sich	sie	PRO	PRF	3|_|_	36	obja	_	-
31	alles	alle	PRO	PIS	Neut|Nom|Sg	37	subj	_	-
32	doch	doch	ADV	ADV	_	36	adv	_	-
33	als	als	KOKOM	KOKOM	_	36	kom	_	-
34	kapitaler	kapital	ADJA	ADJA	Pos|Masc|Nom|Sg|St|	35	attr	_	-
35	Irrtum	Irrtum	N	NN	Masc|Nom|Sg	33	cj	_	-
36	herausstellen	herausstellen	V	VVINF	_	37	aux	_	-
37	würde	werden	V	VAFIN	3|Sg|Past|Subj	26	neb	_	-
38	(	(	$(	$(	_	0	root	_	-
39	"	"	$(	$(	_	0	root	_	-
40	Eine	eine	ART	ART	Indef|Fem|_|Sg	41	det	_	-
41	Frau	Frau	N	NN	Fem|_|Sg	0	root	_	-
42	mit	mit	PREP	APPR	Dat	41	pp	_	-
43	Schulden	Schuld	N	NN	_|Dat|_	42	pn	_	-
44	über	über	PREP	APPR	_	43	pp	_	-
45	49,99	49,99	CARD	CARD	_	46	attr	_	-
46	DM	DM	N	NN	_|_|Pl	44	pn	_	-
47	?	?	$.	$.	_	0	root	_	-

1	Niemals	niemals	ADV	ADV	_	0	root	_	-
2	!	!	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	)	)	$(	$(	_	0	root	_	-
3	.	.	$.	$.	_	0	root	_	-

1	Denn	denn	KON	KON	_	4	koord	_	-
2	im	in	PREP	APPRART	Dat	4	pp	_	-
3	Gelöbnis	Gelöbnis	N	NN	Neut|Dat|Sg	2	pn	_	-
4	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
5	zwar	zwar	ADV	ADV	_	4	adv	_	-
6	von	von	PREP	APPR	Dat	4	pp	_	-
7	"	"	$(	$(	_	0	root	_	-
8	guten	gut	ADJA	ADJA	Pos|_|Dat|_|_|	11	attr	_	-
9	und	und	KON	KON	_	8	kon	_	-
10	schlechten	schlecht	ADJA	ADJA	Pos|_|Dat|_|_|	9	cj	_	-
11	Tagen	Tag	N	NN	_|Dat|_	6	pn	_	-
12	"	"	$(	$(	_	0	root	_	-
13	die	die	ART	ART	Def|Fem|Nom|Sg	14	det	_	-
14	Rede	Rede	N	NN	Fem|Nom|Sg	4	subj	_	-
15	,	,	$,	$,	_	0	root	_	-
16	aber	aber	KON	KON	_	0	root	_	-
17	nicht	nicht	PTKNEG	PTKNEG	_	18	adv	_	-
18	von	von	PREP	APPR	_	0	root	_	-
19	:	\:	$.	$.	_	0	root	_	-
20	"	"	$(	$(	_	0	root	_	-
21	Ich	ich	PRO	PPER	1|Sg|_|Nom	22	subj	_	(0)
22	will	wollen	V	VMFIN	1|Sg|Pres|Ind	0	root	_	-
23	dich	du	PRO	PRF	2|Sg|Acc	24	obja	_	-
24	lieben	lieben	V	VVINF	_	22	aux	_	-
25	und	und	KON	KON	_	22	kon	_	-
26	ehren	ehren	V	VVFIN	_|Pl|Pres|_	25	cj	_	-
27	,	,	$,	$,	_	0	root	_	-
28	auch	auch	ADV	ADV	_	29	adv	_	-
29	wenn	wenn	KOUS	KOUS	_	35	konj	_	-
30	du	du	PRO	PPER	2|Sg|_|Nom	35	subj	_	(12)
31	in	in	PREP	APPR	_	35	pp	_	-
32	Kneipen	Kneipe	N	NN	Fem|_|Pl	31	pn	_	-
33	deine	deine	ART	PPOSAT	Fem|_|Pl	34	det	_	(12)
34	Freundinnen	Freundin	N	NN	Fem|_|Pl	35	obja	_	-
35	anpumpst	anpumpen	V	VVFIN	2|Sg|Pres|Ind	26	neb	_	-
36	,	,	$,	$,	_	0	root	_	-
37	um	um	KOUI	KOUI	_	42	konj	_	-
38	dir	du	PRO	PRF	2|Sg|Dat	40	objd	_	-
39	Bier	Bier	N	NN	_|_|_	40	obja	_	-
40	kaufen	kaufen	V	VVINF	_	42	aux	_	-
41	zu	zu	PTKZU	PTKZU	_	42	part	_	-
42	können	können	V	VMINF	_	35	neb	_	-
43	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Nach	nach	PREP	APPR	Dat	5	pp	_	-
3	dem	die	ART	ART	Def|Masc|Dat|Sg	4	det	_	-
4	Traugottesdienst	Traugottesdienst	N	NN	Masc|Dat|Sg	2	pn	_	-
5	mußten	müssen	V	VMFIN	1|Pl|Past|Ind	0	root	_	-
6	wir	wir	PRO	PPER	1|Pl|_|Nom	5	subj	_	-
7	zum	zu	PREP	APPRART	Dat	14	pp	_	-
8	Feiern	Feier	N	NN	_|Dat|_	7	pn	_	-
9	rasch	rasch	ADV	ADJD	Pos|	14	adv	_	-
10	in	in	PREP	APPR	Acc	14	pp	_	-
11	ein	eine	ART	ART	Indef|Neut|Acc|Sg	13	det	_	-
12	anderes	anderes	ADJA	ADJA	_|Neut|Acc|Sg|_	13	attr	_	-
13	Dorf	Dorf	N	NN	Neut|Acc|Sg	10	pn	_	-
14	fahren	fahren	V	VVINF	_	5	aux	_	-
15	,	,	$,	$,	_	0	root	_	-
16	damit	damit	KOUS	KOUS	_	21	konj	_	-
17	die	die	ART	ART	Def|Fem|Nom|Sg	19	det	_	-
18	anrüchige	anrüchige	ADJA	ADJA	_|Fem|Nom|Sg|_	19	attr	_	-
19	Kirchenborgerei	Kirchenborgerei	N	NN	Fem|Nom|Sg	21	subj	_	-
20	nicht	nicht	PTKNEG	PTKNEG	_	21	adv	_	-
21	aufflog	auffliegen	V	VVFIN	3|Sg|Past|Ind	5	neb	_	-
22	.	.	$.	$.	_	0	root	_	-

1	Im	in	PREP	APPRART	Dat	4	pp	_	-
2	dortigen	dortig	ADJA	ADJA	Pos|Masc|Dat|Sg|Wk|	3	attr	_	-
3	Dorfgasthof	Dorfgasthof	N	NN	Masc|Dat|Sg	1	pn	_	-
4	hatten	haben	V	VAFIN	3|Pl|Past|Ind	0	root	_	-
5	die	die	ART	ART	Def|_|Nom|Pl	6	det	_	(13
6	Brauteltern	Brautelter	N	NN	_|Nom|Pl	4	subj	_	13)
7	den	die	ART	ART	Def|Masc|Acc|Sg	9	det	_	-
8	großen	groß	ADJA	ADJA	Pos|Masc|Acc|Sg|_|	9	attr	_	-
9	Saal	Saal	N	NN	Masc|Acc|Sg	17	obja	_	-
10	"	"	$(	$(	_	0	root	_	-
11	nur	nur	ADV	ADV	_	17	adv	_	-
12	mal	mal	ADV	ADV	_	17	adv	_	-
13	eben	eben	ADV	ADV	_	17	adv	_	-
14	für	für	PREP	APPR	Acc	17	pp	_	-
15	die	die	ART	ART	Def|_|Acc|_	16	det	_	-
16	Feier	Feier	N	NN	_|Acc|_	14	pn	_	-
17	gepumpt	pumpen	V	VVPP	_	4	aux	_	-
18	"	"	$(	$(	_	0	root	_	-
19	.	.	$.	$.	_	0	root	_	-

1	Es	es	PRO	PPER	3|Sg|Neut|Nom	2	subj	_	-
2	ging	gehen	V	VVFIN	3|Sg|Past|Ind	0	root	_	-
3	hoch	hoch	ADV	ADJD	Pos|	2	adv	_	-
4	her	her	PTKVZ	PTKVZ	_	2	avz	_	-
5	,	,	$,	$,	_	0	root	_	-
6	besonders	besonders	ADV	ADV	_	7	adv	_	-
7	nachdem	nachdem	KOUS	KOUS	_	16	konj	_	-
8	die	die	ART	ART	Def|_|Nom|Pl	9	det	_	-
9	Angehörigen	Angehörigen	N	NN	_|Nom|Pl	16	subj	_	-
10	der	die	ART	ART	Def|_|Gen|Pl	12	det	_	-
11	sabbernden	sabbernd	ADJA	ADJA	Pos|_|Gen|Pl|Wk|<PPRES	12	attr	_	-
12	Generationen	Generation	N	NN	_|Gen|Pl	9	gmod	_	-
13	das	die	ART	ART	Def|Neut|_|Sg	14	det	_	-
14	Schlachtfeld	Schlachtfeld	N	NN	Neut|_|Sg	15	obja	_	-
15	geräumt	räumen	V	VVPP	_	16	aux	_	-
16	hatten	haben	V	VAFIN	3|Pl|Past|Ind	2	neb	_	-
17	.	.	$.	$.	_	0	root	_	-

