1	Um	Um	KOUI	KOUI	_	6	konj	_	-
28	Autonomen	Autonome	N	NN	_|Nom|Pl	34	subj	_	-
29	heute	heute	ADV	ADV	_	33	adv	_	-
30	öffentlich	öffentlich	ADV	ADJD	Pos|	33	adv	_	-
31	kaum	kaum	ADV	ADV	_	33	adv	_	-
32	noch	noch	ADV	ADV	_	33	adv	_	-
33	wahrgenommen	wahrgenommen	V	VVPP	_	34	aux	_	-
34	werden	werden	V	VAFIN	3|Pl|Pres|_	25	cj	_	-
35	.	.	$.	$.	_	0	root	_	-

1	Aber	aber	KON	KON	_	0	root	_	-
2	das	die	PRO	PDS	Neut|Nom|Sg	3	subj	_	-
3	wäre	sein	V	VAFIN	_|Sg|Past|Subj	1	cj	_	-
4	ein	eine	ART	ART	Indef|Masc|Nom|Sg	6	det	_	-
5	anderer	anderer	ADJA	ADJA	_|Masc|Nom|Sg|_	6	attr	_	-
6	Film	Film	N	NN	Masc|Nom|Sg	7	pred	_	-
7	geworden	werden	V	VAPP	_	3	aux	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Vielleicht	vielleicht	ADV	ADV	_	2	adv	_	-
2	drehen	drehen	V	VVFIN	1|Pl|Pres|_	0	root	_	-
3	wir	wir	PRO	PPER	1|Pl|_|Nom	2	subj	_	(10)
4	den	die	ART	ART	Def|_|_|_	0	root	_	-
5	auch	auch	ADV	ADV	_	6	adv	_	-
6	noch	noch	ADV	ADV	_	7	adv	_	-
7	mal	mal	ADV	ADV	_	0	root	_	-
8	.	.	$.	$.	_	0	root	_	-

1	Wenn	wenn	KOUS	KOUS	_	7	konj	_	-
2	die	die	ART	ART	Def|Fem|Nom|Sg	3	det	_	(5
3	taz	taz	N	NE	Fem|Nom|Sg	7	subj	_	5)
4	wirklich	wirklich	ADV	ADJD	Pos|	6	adv	_	-
5	neugierig	neugierig	ADV	ADJD	Pos|	6	pred	_	-
6	sein	sein	V	VAINF	_	7	aux	_	-
7	sollte	sollen	V	VMFIN	3|Sg|Past|_	0	root	_	-
8	und	und	KON	KON	_	7	kon	_	-
9	Interesse	Interesse	N	NN	_|Nom|Sg	15	subj	_	-
10	an	an	PREP	APPR	Dat	9	pp	_	-
11	der	die	ART	ART	Def|Fem|Dat|Sg	13	det	_	-
12	vielgepriesenen	vielgepreist	ADJA	ADJA	Pos|Fem|Dat|Sg|Wk|	13	attr	_	-
13	Debattenkultur	Debattenkultur	N	NN	Fem|Dat|Sg	10	pn	_	-
14	haben	haben	V	VAINF	_	15	aux	_	-
15	sollte	sollen	V	VMFIN	3|Sg|Past|_	8	cj	_	-
16	:	\:	$.	$.	_	0	root	_	-
17	Ich	ich	PRO	PPER	1|Sg|_|Nom	18	subj	_	(11)
18	stehe	stehen	V	VVFIN	1|Sg|Pres|_	0	root	_	-
19	zum	zu	PREP	APPRART	Dat	18	objp	_	-
20	Streitgespräch	Streitgespräch	N	NN	Neut|Dat|Sg	19	pn	_	-
21	gerne	gerne	ADV	ADV	_	20	adv	_	-
22	zur	zu	PREP	APPRART	Dat	20	pp	_	-
23	Verfügung	Verfügung	N	NN	Fem|Dat|Sg	22	pn	_	-
24	.	.	$.	$.	_	0	root	_	-

1	Zum	zu	PREP	APPRART	Dat	0	root	_	-
2	Schluß	Schluß	N	NN	Masc|Dat|Sg	1	pn	_	-
3	noch	noch	ADV	ADV	_	1	adv	_	-
4	was	was	PRO	PWS	Neut|_|Sg	0	root	_	-
5	einfaches	einfach	ADJA	ADJA	Pos|Neut|_|Sg|St|	0	root	_	-
6	:	\:	$.	$.	_	0	root	_	-
7	Das	die	ART	ART	Def|Neut|Nom|Sg	8	det	_	(12
8	Video	Video	N	NN	Neut|Nom|Sg	9	subj	_	12)
9	kann	können	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
10	bei	bei	PREP	APPR	Dat	14	pp	_	-
11	der	die	ART	ART	Def|Fem|Dat|Sg	12	det	_	-
12	Medienwerkstatt	Medienwerkstatt	N	NN	Fem|Dat|Sg	10	pn	_	-
13	Freiburg	Freiburg	N	NE	_|Dat|Sg	12	app	_	-
14	ausgeliehen	ausleihen	V	VVPP	_	15	aux	_	-
15	werden	werden	V	VAINF	_	9	aux	_	-
16	:	\:	$.	$.	_	0	root	_	-
17	Fax	Fax	N	NN	Neut|_|Sg	0	root	_	-
18	0761-70	0761-70	CARD	CARD	_	17	app	_	-
19	1796	1796	CARD	CARD	_	18	attr	_	-
20	.	.	$.	$.	_	0	root	_	-

