1	Nein	nein	PTKANT	PTKANT	_	0	root	_	-
1	"	"	$(	$(	_	0	root	_	-
2	Vollbeschäftigung	Vollbeschäftigung	N	NN	Fem|Nom|Sg	3	subj	_	-
3	muß	müssen	V	VMFIN	3|Sg|Pres|Ind	9	s	_	-
4	neu	neu	ADV	ADJD	Pos|	5	adv	_	-
5	definiert	definieren	V	VVPP	_	6	aux	_	-
6	werden	werden	V	VAINF	_	3	aux	_	-
7	"	"	$(	$(	_	0	root	_	-
8	,	,	$,	$,	_	0	root	_	-
9	heißt	heißen	V	VVFIN	3|Sg|Pres|Ind	0	root	_	-
10	es	es	PRO	PPER	3|Sg|Neut|Nom	9	subj	_	-
11	weiter	weiter	ADV	ADV	_	9	adv	_	-
12	.	.	$.	$.	_	0	root	_	-

1	Die	die	ART	ART	Def|_|Nom|Pl	2	det	_	-
2	Grünen	Grüne	N	NN	_|Nom|Pl	3	subj	_	-
3	machten	machen	V	VVFIN	3|Pl|Past|_	0	root	_	-
4	"	"	$(	$(	_	0	root	_	-
5	den	die	ART	ART	Def|Masc|_|_	6	det	_	-
6	Menschen	Mensch	N	NN	Masc|_|_	3	obja	_	-
7	nicht	nicht	PTKNEG	PTKNEG	_	3	adv	_	-
8	länger	lang	ADV	ADJD	Comp|	3	adv	_	-
9	weis	weis	ADV	ADJD	_	3	pred	_	-
10	,	,	$,	$,	_	0	root	_	-
11	daß	daß	KOUS	KOUS	_	19	konj	_	-
12	man	man	PRO	PIS	_|Nom|Sg	19	subj	_	-
13	mit	mit	PREP	APPR	Dat	18	pp	_	-
14	mehr	mehr	ART	PIAT	Neut|Dat|Sg	15	det	_	-
15	Wachstum	Wachstum	N	NN	Neut|Dat|Sg	13	pn	_	-
16	die	die	ART	ART	Def|Fem|_|Sg	17	det	_	-
17	Arbeitslosigkeit	Arbeitslosigkeit	N	NN	Fem|_|Sg	18	obja	_	-
18	beseitigen	beseitigen	V	VVINF	_	19	aux	_	-
19	kann	können	V	VMFIN	3|Sg|Pres|Ind	22	objc	_	-
20	"	"	$(	$(	_	0	root	_	-
21	,	,	$,	$,	_	0	root	_	-
22	sagte	sagen	V	VVFIN	3|Sg|Past|_	3	kon	_	-
23	dazu	dazu	PROAV	PROAV	_	22	pp	_	-
24	Trittin	Trittin	N	NN	Fem|Nom|Sg	22	subj	_	(1)
25	.	.	$.	$.	_	0	root	_	-

1	Um	Um	KOUI	KOUI	_	6	konj	_	-
2	den	die	ART	ART	Def|_|_|_	3	det	_	-
3	Faktor	Faktor	N	NN	Fem|Acc|Sg	6	obja	_	-
4	Arbeit	Arbeit	N	NN	Fem|Acc|Sg	3	app	_	-
5	zu	zu	PTKZU	PTKZU	_	6	part	_	-
6	entlasten	entlasten	V	VVINF	_	8	neb	_	-
7	,	,	$,	$,	_	0	root	_	-
8	ist	sein	V	VAFIN	3|Sg|Pres|Ind	0	root	_	-
9	die	die	ART	ART	Def|Fem|Nom|Sg	10	det	_	-
10	Besteuerung	Besteuerung	N	NN	Fem|Nom|Sg	8	subj	_	-
11	von	von	PREP	APPR	_	10	pp	_	-
12	Energie	Energie	N	NN	Fem|_|Sg	11	pn	_	-
13	und	und	KON	KON	_	12	kon	_	-
14	Emissionen	Emission	N	NN	Fem|_|Pl	13	cj	_	-
15	vorgesehen	vorsehen	V	VVPP	_	8	aux	_	-
16	.	.	$.	$.	_	0	root	_	-

1	"	"	$(	$(	_	0	root	_	-
2	Wir	wir	PRO	PPER	1|Pl|_|Nom	3	subj	_	(9)
3	bleiben	bleiben	V	VVFIN	1|Pl|Pres|_	11	s	_	-
4	unserem	unsre	ART	PPOSAT	Neut|Dat|Sg	5	det	_	(9)
5	Konzept	Konzept	N	NN	Neut|Dat|Sg	3	objd	_	-
6	der	die	ART	ART	Def|_|Gen|_	7	det	_	-
7	Öko-Steuer	Öko-Steuer	N	NN	_|Gen|_	5	gmod	_	-
8	treu	treu	ADV	ADJD	Pos|	3	pred	_	-
9	"	"	$(	$(	_	0	root	_	-
10	,	,	$,	$,	_	0	root	_	-
11	erklärte	erklären	V	VVFIN	3|Sg|Past|_	0	root	_	-
12	Vorstandssprecherin	Vorstandssprecherin	N	NN	Fem|Nom|Sg	11	subj	_	-
13	Gunda	Gunda	N	NE	Fem|Nom|Sg	12	app	_	-
14	Röstel	Röstel	N	NE	Fem|Nom|Sg	13	app	_	-
15	.	.	$.	$.	_	0	root	_	-

1	Der	die	ART	ART	Def|Masc|Nom|Sg	2	det	_	(0
2	Programmentwurf	Programmentwurf	N	NN	Masc|Nom|Sg	3	subj	_	0)
3	soll	sollen	V	VMFIN	3|Sg|Pres|Ind	0	root	_	-
4	auf	auf	PREP	APPR	Dat	12	pp	_	-
5	dem	die	ART	ART	Def|Masc|Dat|Sg	6	det	_	-
6	Länderrat	Länderrat	N	NN	Masc|Dat|Sg	4	pn	_	-
7	Anfang	Anfang	N	NN	Masc|_|Sg	12	zeit	_	-
8	des	die	ART	ART	Def|Neut|Gen|Sg	9	det	_	-
9	Jahres	Jahr	N	NN	Neut|Gen|Sg	7	gmod	_	-
10	noch	noch	ADV	ADV	_	12	adv	_	-
11	einmal	einmal	ADV	ADV	_	12	adv	_	-
12	diskutiert	diskutieren	V	VVPP	_	13	aux	_	-
13	werden	werden	V	VAINF	_	3	aux	_	-
14	,	,	$,	$,	_	0	root	_	-
15	bevor	bevor	KOUS	KOUS	_	24	konj	_	-
16	die	die	ART	ART	Def|Fem|Nom|Sg	17	det	_	-
17	Bundesdelegiertenkonferenz	Bundesdelegiertenkonferenz	N	NN	Fem|Nom|Sg	24	subj	_	-
18	im	in	PREP	APPRART	Dat	24	pp	_	-
19	März	März	N	NN	_|Dat|_	18	pn	_	-
20	dann	dann	ADV	ADV	_	24	adv	_	-
21	die	die	ART	ART	Def|Fem|_|Sg	23	det	_	-
22	endgültige	endgültig	ADJA	ADJA	Pos|Fem|_|Sg|_|	23	attr	_	-
23	Fassung	Fassung	N	NN	Fem|_|Sg	24	obja	_	-
24	verabschiedet	verabschieden	V	VVFIN	3|Sg|Pres|Ind	3	neb	_	-
25	.	.	$.	$.	_	0	root	_	-

